split,participant,step,support,predicted,correct,recall,prediction_rate
train,11,1,171,204,120,0.7017543859649122,0.03942028985507246
train,11,2,324,396,168,0.5185185185185185,0.07652173913043478
train,11,3,459,684,447,0.9738562091503268,0.13217391304347825
train,11,4,2016,1290,1152,0.5714285714285714,0.2492753623188406
train,11,5,351,405,186,0.5299145299145299,0.0782608695652174
train,11,6,468,483,240,0.5128205128205128,0.09333333333333334
train,11,7,1098,1293,873,0.7950819672131147,0.24985507246376812
train,04,0,111,105,60,0.5405405405405406,0.02090800477897252
train,04,1,258,333,219,0.8488372093023255,0.06630824372759857
train,04,2,462,354,243,0.525974025974026,0.07048984468339307
train,04,3,576,558,417,0.7239583333333334,0.1111111111111111
train,04,4,1866,1020,885,0.4742765273311897,0.2031063321385902
train,04,5,324,210,45,0.1388888888888889,0.04181600955794504
train,04,6,405,1197,375,0.9259259259259259,0.23835125448028674
train,04,7,1020,1245,759,0.7441176470588236,0.24790919952210275
train,08,0,99,294,42,0.42424242424242425,0.043789097408400354
train,08,1,132,285,105,0.7954545454545454,0.04244861483467382
train,08,2,444,393,234,0.527027027027027,0.058534405719392314
train,08,3,693,702,471,0.6796536796536796,0.10455764075067024
train,08,4,3195,2172,1782,0.5577464788732395,0.32350312779267204
train,08,5,423,384,120,0.28368794326241137,0.05719392314566577
train,08,6,459,990,312,0.6797385620915033,0.14745308310991956
train,08,7,1269,1494,951,0.7494089834515366,0.2225201072386059
train,10,0,450,636,321,0.7133333333333334,0.04028886354998099
train,10,1,423,1164,342,0.8085106382978723,0.07373622196883314
train,10,2,882,873,423,0.47959183673469385,0.05530216647662486
train,10,3,1734,2226,1239,0.7145328719723183,0.1410110224249335
train,10,4,5805,2952,2184,0.37622739018087853,0.18700114025085518
train,10,5,1206,1437,303,0.2512437810945274,0.09103002660585328
train,10,6,654,1788,84,0.12844036697247707,0.11326491828202205
train,10,7,4632,4710,3561,0.7687823834196891,0.298365640440897
train,05,0,330,162,54,0.16363636363636364,0.027579162410623085
train,05,1,261,525,162,0.6206896551724138,0.08937691521961184
train,05,2,432,663,324,0.75,0.1128702757916241
train,05,3,621,693,528,0.8502415458937198,0.11797752808988764
train,05,4,1944,1161,933,0.4799382716049383,0.1976506639427988
train,05,5,531,264,105,0.1977401129943503,0.0449438202247191
train,05,6,594,1047,474,0.797979797979798,0.17824310520939735
train,05,7,1161,1359,924,0.7958656330749354,0.2313585291113381
train,06,0,267,171,123,0.4606741573033708,0.024040489245044285
train,06,1,252,459,174,0.6904761904761905,0.0645297342893294
train,06,2,393,657,234,0.5954198473282443,0.09236609025727541
train,06,3,432,420,255,0.5902777777777778,0.059046815689582456
train,06,4,2835,933,717,0.2529100529100529,0.13116828342471532
train,06,5,558,630,147,0.26344086021505375,0.08857022353437369
train,06,6,666,1506,390,0.5855855855855856,0.21172501054407422
train,06,7,1710,2337,1509,0.8824561403508772,0.32855335301560523
train,09,0,270,180,57,0.2111111111111111,0.02517834662190516
train,09,1,279,543,234,0.8387096774193549,0.07595467897608058
train,09,2,279,378,180,0.6451612903225806,0.05287452790600084
train,09,3,612,909,573,0.9362745098039216,0.12715065044062107
train,09,4,2925,2328,1827,0.6246153846153846,0.3256399496433068
train,09,5,603,576,165,0.2736318407960199,0.08057070919009651
train,09,6,468,624,153,0.3269230769230769,0.08728493495593789
train,09,7,1713,1611,1233,0.7197898423817863,0.2253462022660512
val,15,0,327,540,36,0.11009174311926606,0.05986032590621882
val,15,1,447,1272,303,0.6778523489932886,0.1410043232457599
val,15,2,729,813,87,0.11934156378600823,0.09012304622547389
val,15,3,1389,243,117,0.08423326133909287,0.02693714665779847
val,15,4,2940,1518,801,0.2724489795918367,0.16827402726970403
val,15,5,468,240,3,0.00641025641025641,0.02660458929165281
val,15,6,411,1902,189,0.45985401459854014,0.21084137013634852
val,15,7,2310,2493,1212,0.5246753246753246,0.27635517126704356
val,01,0,144,102,0,0.0,0.0194954128440367
val,01,1,252,468,48,0.19047619047619047,0.08944954128440367
val,01,2,216,675,132,0.6111111111111112,0.1290137614678899
val,01,3,171,279,93,0.543859649122807,0.053325688073394495
val,01,4,2016,1476,1092,0.5416666666666666,0.28211009174311924
val,01,5,999,732,342,0.34234234234234234,0.13990825688073394
val,01,6,351,798,150,0.42735042735042733,0.15252293577981652
val,01,7,1083,702,483,0.44598337950138506,0.1341743119266055
test,02,0,252,27,0,0.0,0.0034615384615384616
test,02,1,306,1182,225,0.7352941176470589,0.15153846153846154
test,02,2,333,1110,174,0.5225225225225225,0.1423076923076923
test,02,3,774,42,39,0.050387596899224806,0.005384615384615384
test,02,4,3429,1695,1341,0.3910761154855643,0.2173076923076923
test,02,5,576,369,84,0.14583333333333334,0.04730769230769231
test,02,6,522,1437,129,0.2471264367816092,0.18423076923076923
test,02,7,1608,1938,1005,0.625,0.24846153846153846
