epoch,train_loss,val_loss,train_step_loss,val_step_loss,train_progress_loss,val_progress_loss,train_acc,val_acc,train_progress_mae,val_progress_mae
1,2.086108269230012,2.0438046285084317,1.9129514251985857,1.8962553909846716,0.17315684054647723,0.1475492204938616,0.2631578947368421,0.32286995515695066,0.31499558735278343,0.31253876217773985
2,1.847132569359195,1.8655927692140852,1.740826677891516,1.7579237052372523,0.10630589038614303,0.10766906823430743,0.4782830863566684,0.39461883408071746,0.258110697952009,0.2675632578986032
3,1.6165919058745908,1.8567337819508143,1.5210706211866871,1.741329346384321,0.09552129105694833,0.11540441747222628,0.4977005620848237,0.4439461883408072,0.2544089524495986,0.2839094953877585
4,1.560270543059995,1.8506863287517004,1.4675993861690644,1.7332352229527064,0.0926711537965363,0.11745109941278185,0.512008175779254,0.452914798206278,0.25404806591330037,0.2893319789852415
5,1.5263916470350758,1.8457459211349487,1.43474366539909,1.7278224400111608,0.09164797214250411,0.11792349921805519,0.5181400102197241,0.4484304932735426,0.2545073902414691,0.29141653009823393
6,1.4949146235181439,1.8396440063204085,1.4039822807235103,1.7228403432028634,0.09093235351986462,0.11680367588996887,0.5196729688298416,0.4304932735426009,0.25423761973938636,0.2907348849943706
7,1.4605998257475514,1.8317572389330183,1.370238171710122,1.716989380972726,0.09036164865979264,0.11476783188326019,0.5201839550332141,0.4125560538116592,0.25345708694188823,0.28868582418986727
8,1.424601677925356,1.8178208214896066,1.3345820711505028,1.706375139100211,0.0900196060538292,0.11144567493881498,0.5263157894736842,0.3811659192825112,0.2524090918802446,0.28526172041893005
9,1.3936473607055602,1.8142855848584856,1.3040488355102078,1.706625052860805,0.08959852789919223,0.10766050858157021,0.5334695963208993,0.3901345291479821,0.2515760439057504,0.2801590689590999
10,1.3627584086310478,1.8091042722974504,1.273886706079206,1.7054744107382638,0.08887170168060449,0.10362983494997025,0.5498211548288197,0.38565022421524664,0.2503343498514545,0.27514609694480896
11,1.3415010840662065,1.8377638374056136,1.2531321024702442,1.7368932706969125,0.08836898868603091,0.10087056138685771,0.5549310168625448,0.40358744394618834,0.24896700055368484,0.2722711052213396
12,1.3109879681179601,1.8329075915472848,1.2237334681614753,1.7309869016919817,0.08725451086197168,0.10192071433578219,0.5707715891670925,0.40358744394618834,0.24717407673597336,0.27418238563197
13,1.2676694227322456,1.8533720799854823,1.1808804288025825,1.7518798623766219,0.08678899834593458,0.1014922314456531,0.5855901890648952,0.4125560538116592,0.24566415216653578,0.2715417104107993
14,1.237018526081116,1.8544916084834508,1.1509153018555334,1.7538700103759766,0.08610322560754514,0.1006215853350503,0.602452733776188,0.36771300448430494,0.24323680540246348,0.26525652621473583
15,1.215831852968662,1.9070932865142822,1.129660731121417,1.8098686252321516,0.08617112016485583,0.09722464425223214,0.6198262646908533,0.40358744394618834,0.24134167175619833,0.26692989255700794
16,1.2135771625945646,1.8669941425323486,1.128476295620203,1.7681018454687936,0.08510086667393485,0.0988922757761819,0.6188042922841084,0.37668161434977576,0.24179559273104514,0.26873986635889324
17,1.1979862684684415,1.8354713405881609,1.1120571359511344,1.7385806696755546,0.08592913323833097,0.09689066239765712,0.627491057741441,0.3811659192825112,0.24176389471657814,0.26414822041988373
