epoch,train_loss,val_loss,train_step_loss,val_step_loss,train_progress_loss,val_progress_loss,train_acc,val_acc,train_progress_mae,val_progress_mae
1,2.1249180532270864,2.035581077848162,1.9071199259450358,1.874924795968192,0.2177981416424436,0.16065628241215432,0.2917731221257026,0.4304932735426009,0.3545298584766926,0.3278095807347979
2,1.8801368551869546,1.783185260636466,1.7686675575471693,1.6783383062907629,0.11146930485002456,0.10484693625143596,0.4741951967296883,0.452914798206278,0.27296799685685863,0.28263323434761595
3,1.640407042637948,1.7304020098277502,1.5387440943910229,1.616363023008619,0.10166294782632782,0.11403897511107582,0.4752171691364333,0.45739910313901344,0.2704225252232244,0.2951275961739676
4,1.5848607065216187,1.7202843512807573,1.4879422678101448,1.6060470002038139,0.09691844207625236,0.11423733245049204,0.48083801737353093,0.4618834080717489,0.2662739340336092,0.29713381614003864
5,1.5552792760633654,1.7119703122547694,1.4584535792950661,1.5974139315741402,0.09682569466531277,0.11455636737602097,0.48492590700051097,0.45739910313901344,0.2665617146318959,0.2978448633636747
6,1.528191009836812,1.70488555090768,1.4312955064158286,1.5913550853729248,0.09689550312055696,0.11353044637611934,0.49310168625447115,0.452914798206278,0.2659312270341381,0.29655869730881285
7,1.5082072831930653,1.7014516592025757,1.4114498318203035,1.5882962090628487,0.09675745696069733,0.11315549058573586,0.4971895758814512,0.452914798206278,0.2646433410625304,0.29554338327475954
8,1.495183785115519,1.6904346432004655,1.398944204853427,1.5793193578720093,0.09623957857970268,0.11111530980893544,0.5017884517118038,0.45739910313901344,0.26352651970040414,0.2933046285595213
9,1.4830186208409648,1.683906716959817,1.3872757179121817,1.5735378776277815,0.09574290058545527,0.11036886913435799,0.512008175779254,0.47085201793721976,0.2631702197174872,0.29305880836078096
10,1.4691821317518912,1.6839057462556022,1.373665628894683,1.5731750982148307,0.09551650453959742,0.11073065229824611,0.512008175779254,0.4798206278026906,0.2629260584231346,0.2945487286363329
11,1.4585284047549771,1.6716558933258057,1.3633468530831798,1.5618377583367484,0.09518155068038933,0.10981810944420951,0.5191619826264691,0.47533632286995514,0.26215095000882305,0.29351088191781727
12,1.4421228449190817,1.6431134343147278,1.3470674628211605,1.535936415195465,0.09505538360005425,0.10717702444110598,0.5237608584568216,0.49327354260089684,0.26179313106882957,0.2897608301469258
13,1.4213824296189892,1.7318761774471827,1.3277237679689162,1.620879888534546,0.09365866351271829,0.11099628678389958,0.5344915687276444,0.43946188340807174,0.25931980412813926,0.2970250461782728
14,1.4473569633499268,1.666660291807992,1.3524328749026022,1.5608830962862288,0.09492408790655675,0.10577718913555145,0.5309146653040367,0.4304932735426009,0.2636667283311967,0.28687943305288044
15,1.398683498463323,1.6100733365331377,1.3044829272454785,1.506359875202179,0.0942005729302764,0.10371347729648862,0.5406234031681144,0.47533632286995514,0.2587222449721829,0.2808853004659925
16,1.3941856863037232,1.6506525874137878,1.2999982780987216,1.5435401712145125,0.09418740441962596,0.10711240395903587,0.546244251405212,0.49327354260089684,0.25865890710584577,0.2874016059296472
17,1.4107192668222612,1.6295154435294015,1.314411195055131,1.5223244854382105,0.09630806786158393,0.10719094797968864,0.5396014307613695,0.4439461883408072,0.2615436363604761,0.28006432950496674
18,1.4327402129288642,1.5540981463023595,1.3362794797266684,1.4535358037267412,0.09646073851974742,0.10056232607790402,0.5293817066939193,0.49327354260089684,0.26201002275751484,0.27929616613047464
19,1.3878647204368346,1.5665260383061,1.2941933716497114,1.4659104943275452,0.09367135263258411,0.10061556792684964,0.5554420030659172,0.48878923766816146,0.2612479660780199,0.27982807798045023
20,1.3674587602576902,1.5715437616620744,1.2749417775100278,1.4722991841179984,0.09251697679921504,0.09924456477165222,0.5615738375063873,0.47533632286995514,0.2586113016211217,0.2775479874440602
21,1.3654593791692489,1.583307913371495,1.272721470844361,1.4806769915989466,0.09273790994719151,0.10263092975531306,0.5559529892692897,0.45739910313901344,0.2583147546937389,0.28312168589660097
22,1.3456686182368187,1.5694398028509957,1.2535802919057109,1.4693191051483154,0.09208832873452094,0.1001206785440445,0.569238630556975,0.4977578475336323,0.2564017537140077,0.27967508137226105
23,1.3404176326528672,1.6820696336882455,1.248914742181378,1.581679139818464,0.09150289152298242,0.10039047577551433,0.567194685743485,0.45739910313901344,0.2552382267050205,0.2785042609487261
24,1.3630899753301375,1.6440895880971635,1.2720987421851004,1.540667278426034,0.09099123849263115,0.10342227454696383,0.5636177823198774,0.4618834080717489,0.2529518469687431,0.2819382590906961
25,1.333026821574857,1.6427229813167028,1.2427813297798556,1.537921965122223,0.0902454889709911,0.10480101566229548,0.5677056719468574,0.47085201793721976,0.2514721050618156,0.28328673115798403
26,1.3180596357391727,1.6321063722882951,1.2282953481039693,1.5287677645683289,0.08976428763520333,0.10333860452686038,0.5799693408277976,0.48878923766816146,0.25095832768467163,0.28057474323681425
27,1.309154821019019,1.638526771749769,1.2198917385070556,1.5333884273256575,0.08926308091970221,0.10513835134250778,0.5769034236075626,0.48878923766816146,0.24995546920164938,0.28239465185574125
28,1.2975273387086006,1.620686377797808,1.208710306113766,1.5159755945205688,0.08881703737161813,0.10471078806689807,0.5850792028615227,0.48878923766816146,0.24901491187272534,0.28174084424972534
29,1.295078999092502,1.6267600229808263,1.2060518702191692,1.5236246926443917,0.08902712656004776,0.10313533619046211,0.5896780786918753,0.484304932735426,0.24897106989256798,0.2789009043148586
30,1.278555967634724,1.6284428494317191,1.1897676913968978,1.5249149629047938,0.08878827061984808,0.10352788652692523,0.596320899335718,0.47533632286995514,0.24778743016142998,0.2780397321496691
31,1.2661587908383338,1.6151105335780553,1.177788030235998,1.5111745510782515,0.08837076135340237,0.10393596493772098,0.6009197751660705,0.47533632286995514,0.24670519223136286,0.2797782314675195
32,1.2616482477995656,1.6203882523945399,1.1736200346100716,1.5167416163853236,0.08802821153714772,0.1036466434597969,0.598364844149208,0.49327354260089684,0.24697548102947972,0.2776545584201813
