epoch,train_loss,val_loss,train_step_loss,val_step_loss,train_progress_loss,val_progress_loss,train_acc,val_acc,train_progress_mae,val_progress_mae,train_mistake_loss,val_mistake_loss,train_mistake_acc,val_mistake_acc
1,2.194197296141603,1.9705139272002856,1.7628709340465192,1.6894697558954306,0.09697016968010516,0.07623585771141078,0.3351081956040211,0.3393476752255378,0.23729829448038034,0.1986750326662904,0.334356193113193,0.20480830449349843,0.894573181121145,0.9462179042331714
2,1.9088759349789524,1.9207794992233795,1.5361129501077584,1.641152158700121,0.0845555452476634,0.07398596829957717,0.412548986198671,0.4163775156141568,0.22102803177972896,0.1988847395101411,0.288207438691732,0.2056413754190032,0.9013034588515931,0.9462179042331714
3,1.7893810151971612,1.8246184484897432,1.4279175962453645,1.5458914169745674,0.08226631793151785,0.07243491557221872,0.45561424433463965,0.45593337959750174,0.21707246580152745,0.20411861066930745,0.27919709987647695,0.20629210667238726,0.9028369398534674,0.9462179042331714
4,1.6729641059001923,1.7853725277492356,1.3220266904634315,1.5056019305851953,0.0806766669365104,0.07329510473940291,0.4928437553245868,0.445176960444136,0.2144919032410922,0.21111347537169764,0.27026074469688705,0.20647549722279052,0.9041148406883626,0.9458709229701596
5,1.6054699151595988,1.7844454699469308,1.2619096179251412,1.5134623151616369,0.07928192455046708,0.07242621039864423,0.5157607769637076,0.4767522553782096,0.21289253199571725,0.20064236435685034,0.2642783738341399,0.1985569489676451,0.9069688192196286,0.9444829979181124
6,1.5486539745883288,1.8018195196045181,1.2119497098555494,1.5163520591528692,0.07914879353560506,0.07273113055414494,0.5302010563980235,0.46634281748785567,0.21357501241443388,0.20537425373925838,0.25755547042659976,0.21273632211084584,0.9080337365820412,0.9368494101318529
7,1.5300546607688452,1.7542828350411281,1.1971172070174185,1.4670121630060433,0.07913448333024248,0.07178164954445249,0.5407650366331572,0.48820263705759886,0.2130686466566727,0.20024997488150242,0.2538029730528172,0.21548902219074786,0.9092264440279434,0.9378903539208883
8,1.46552428493997,1.7164390996294994,1.1388049822565358,1.4363422526161675,0.07795611344827544,0.07045611645056918,0.556781393763844,0.49201943095072864,0.21190256346762942,0.19927946587224374,0.24876318938368772,0.2096407434629699,0.9108025217243142,0.9385843164469119
9,1.4382543136484884,1.775344334734057,1.1160432529685078,1.4970292599973871,0.07730912295176318,0.07021515262697738,0.5732663145339921,0.5201249132546842,0.21084040950766048,0.19574431048177499,0.24490193785008751,0.2080999302893029,0.9132731300051116,0.936502428868841
10,1.402480907366251,1.741436362514721,1.0797458877045936,1.461010951453162,0.07700189937291387,0.06997951968604703,0.5854063724654966,0.518736988202637,0.21055733367945434,0.19450194758313302,0.24573312088159102,0.21044589612196088,0.912548986198671,0.9295628036086051
11,1.3761083407019365,1.7276158351024598,1.06194573522,1.4515451917542426,0.0768022627504198,0.06917165981904241,0.5889844948032033,0.5426786953504511,0.2108528207912013,0.19694926737084478,0.2373603412119488,0.20689898313880795,0.9139972738115523,0.9358084663428174
12,1.3268592704559108,1.7394268880032733,1.019039709516432,1.4557370100478013,0.07608203897638284,0.07015511174321092,0.6070454932697222,0.5249826509368494,0.20961722567065608,0.19559658491967205,0.23173752065807007,0.21353476214055217,0.9161271085363776,0.9292158223455933
13,1.2956843569933159,1.7161641977960083,0.9893688635904108,1.4414590697252114,0.07656887100784472,0.06880014126578773,0.6154370420855342,0.5527411519777932,0.2108627913386762,0.1969546944130468,0.22974662427389148,0.20590498535729052,0.9165530754813427,0.9285218598195697
14,1.3256942630728175,1.7501062395504827,1.0128099297030981,1.4647545967558702,0.07669869023201453,0.06933318911990219,0.6091753279945477,0.5079805690492714,0.21167857217045288,0.19881523946024823,0.23618564136106693,0.21601844940006237,0.9122508093371954,0.9340735600277585
15,1.3104445220949215,1.8088099246716682,0.9985697666736291,1.5255198033628656,0.07626290389216521,0.06729750697146183,0.6095586982450162,0.5145732130464955,0.21067132822525605,0.19406991040929997,0.23561185399318882,0.2159926113035946,0.9144232407565173,0.9347675225537821
16,1.3348364114436366,1.7631125254899078,1.0273862292421678,1.4908002344458406,0.075705435119403,0.0676768870505916,0.6042341114329528,0.5284524635669674,0.21028343116501808,0.19696209957664168,0.23174474710935952,0.20463541292796775,0.9141676605895382,0.9361554476058292
17,1.242509528885385,1.793563793799184,0.9435189628564513,1.516545288187195,0.0761682773153346,0.06808725810150236,0.6330294769125916,0.5395558639833449,0.21024749582021804,0.1968397446840195,0.2228222839352747,0.20893123648714307,0.9192792639291191,0.9236641221374046
18,1.1866224636960871,1.8653230796168034,0.891674707991684,1.5884423889607542,0.0753396129247368,0.0689988501013194,0.6476827398193901,0.5430256766134629,0.2099593870683268,0.19965274730215132,0.21960814092812903,0.20788184975291357,0.918768103595161,0.9333795975017349
19,1.1869202965994592,1.8408837232384558,0.8887955207783271,1.561805752645674,0.07597151788389242,0.07036148787247977,0.6578633498040553,0.5513532269257461,0.21039661913373886,0.2037074725136502,0.22215325375049316,0.20871646921257025,0.9199608110410632,0.9281748785565579
