epoch,train_loss,val_loss,train_step_loss,val_step_loss,train_progress_loss,val_progress_loss,train_acc,val_acc,train_progress_mae,val_progress_mae,train_mistake_loss,val_mistake_loss,train_mistake_acc,val_mistake_acc,val_step_macro_f1
1,2.1008284294563353,1.9016710249723439,1.6335669093049596,1.6167716464268354,0.10927759714069821,0.10605745569069093,0.3981294236602629,0.4622184803199326,0.26428553601935406,0.2637570426395999,0.3579839241726224,0.17884192680932845,0.8858033607780827,0.9703220374657967,0.2264497675517179
2,1.747492384495024,1.8631243259707877,1.3376229258981596,1.5919335121055624,0.09987773452142643,0.10914148184909475,0.5104723385815398,0.4580088402441591,0.2519465296365695,0.26157413687462105,0.3099917232526778,0.16204933292883067,0.890895084019452,0.9703220374657967,0.25522625204692917
3,1.6217086199326465,1.8560952783458937,1.2172165214599278,1.5884356144427552,0.09673036579963727,0.10715089449399581,0.5610404930425152,0.4655861923805515,0.24783061134596532,0.26135911867738665,0.3077617337794221,0.1605087668973881,0.8879820886898744,0.9703220374657967,0.284986986067419
4,1.5384662693974556,1.9930461468650091,1.1404158520454033,1.7031217254037014,0.09498191590773046,0.1091046190404339,0.5917593528816987,0.41191328141443906,0.2459462563047584,0.267989079919663,0.3030685010435692,0.18081981089000893,0.8886561702537435,0.9703220374657967,0.2886719218293703
5,1.4877784601259578,1.9579799981951287,1.0953586164439866,1.6818906780394272,0.0940293667340142,0.10847181175707818,0.6038326351774279,0.4298042517364765,0.2453276067304935,0.27005703086532024,0.2983904764335302,0.16761751263123065,0.8908228609947518,0.9703220374657967,0.2959303827657962
6,1.4166831775206148,1.9153432842723814,1.0244805316575152,1.6548270479316152,0.09343398963316225,0.10728813197296737,0.6302903365592951,0.4413807619448537,0.24413530867550565,0.268498773842429,0.29876865647459494,0.1532281033764268,0.8889089508401945,0.9703220374657967,0.29113781428729746
7,1.393899692752777,1.91169245080982,1.0060035207015696,1.6569826710285207,0.09368233924751432,0.10832908353789525,0.6378256054696904,0.4599031782782572,0.24551440567829996,0.2603264947836837,0.2942138315854267,0.1463806963895092,0.8891978429389956,0.9703220374657967,0.31518443322161843
8,1.3542424163210403,2.034139875302455,0.9692691348859368,1.7793807331941793,0.09242495400524833,0.1090477706873232,0.6538711541239347,0.4281203957061671,0.24345309235328852,0.2630210242444638,0.29254832707972916,0.1457113675268179,0.8878857913236073,0.9703220374657967,0.28816225939008266
9,1.3481673927207027,1.8970853315272567,0.9622149205103361,1.6489705972560103,0.0933630374818574,0.10831448390122247,0.6561822909143435,0.45948221427067987,0.24533639145612637,0.25822006329598196,0.29258943475075083,0.13980025081565772,0.8895709952332803,0.9703220374657967,0.3060481728864588
10,1.2960204717208244,1.9726478934480391,0.9187102717068482,1.7200639165008995,0.09086165486162,0.10846736063239934,0.6714815349800183,0.45085245211534414,0.24134677201703192,0.2654806502633351,0.28644854532598424,0.14411661533931175,0.893434927054745,0.9696905914544306,0.3230310695772138
