frame_index,X_pose,X_step
10,"[-1.2705121040344238, -0.8610705733299255, 0.3050846457481384, 1.275167465209961, -1.9796299934387207, -2.6302030086517334, -6.034848213195801, -5.633707523345947, -0.3869316279888153, 0.04085724800825119, 0.110940121114254, 0.01405505370348692, 0.16636550426483154, -0.04216613620519638, 0.15589401125907898, 0.21209272742271423, 0.8501529097557068, -0.3139551877975464, 0.19302836060523987, -0.3091762661933899, 0.4652743339538574, 0.1992429941892624, 0.012974944896996021, 0.19541417062282562, -0.08349264413118362, 0.07858335226774216]","[1.0, 1.032561140872997e-24, 0.0, 0.0]"
11,"[-1.2978521585464478, -0.8515750765800476, 0.28450119495391846, 1.2686892747879028, -1.9866867065429688, -2.656385898590088, -6.178205966949463, -5.600640773773193, -0.3678542673587799, 0.12152721732854843, -0.01974373683333397, 0.18631091713905334, 0.01075655221939087, 0.12009665369987488, -0.16132955253124237, 0.3277187943458557, 0.5766104459762573, -0.2876005470752716, 0.5930227637290955, -0.30924466252326965, 0.6330873370170593, 0.8734468817710876, 0.10007546842098236, 0.22655747830867767, -0.05038377270102501, 0.12961123883724213]","[1.0, 1.1950085060719917e-24, 0.0, 0.0]"
12,"[-1.2781625986099243, -0.8397476077079773, 0.3008735775947571, 1.266735553741455, -2.0967681407928467, -2.7194952964782715, -5.437611103057861, -5.376029014587402, -0.36155009269714355, -0.12870770692825317, -0.08102995902299881, -0.03785935789346695, 0.03412993997335434, 0.14633163809776306, -0.022442571818828583, 0.16392187774181366, 0.7771560549736023, -0.35765284299850464, 0.1191999688744545, -0.07122338563203812, 0.5581397414207458, 0.9798513650894165, -0.014449632726609707, -0.04661299288272858, -0.054357048124074936, 0.023941729217767715]","[1.0, 1.3830129924478841e-24, 0.0, 0.0]"
13,"[-1.2844499349594116, -0.850568413734436, 0.3036593794822693, 1.251848578453064, -2.063396453857422, -2.656606912612915, -5.990189552307129, -5.43226432800293, -0.36108505725860596, -0.09516309946775436, -0.05132683739066124, -0.08654925972223282, -0.01453891210258007, -0.08979184180498123, -0.15023420751094818, -0.13500741124153137, -0.2557584345340729, -0.14464634656906128, -0.3531937301158905, -0.14679522812366486, 0.568081796169281, 0.5088220834732056, -0.043345652520656586, -0.06313233822584152, -0.020630892366170883, 0.046272799372673035]","[1.0, 1.6005951282117463e-24, 0.0, 0.0]"
14,"[-1.2670010328292847, -0.8655189275741577, 0.30872657895088196, 1.2685614824295044, -2.059838056564331, -2.660372018814087, -6.1828460693359375, -5.520033359527588, -0.3797006607055664, -0.12177976965904236, -0.0728607028722763, -0.08276978880167007, -0.07100917398929596, -0.12548719346523285, -0.14276020228862762, 0.002875611186027527, 0.18936143815517426, -0.12192811071872711, -0.34365397691726685, -0.22638575732707977, -0.1578867882490158, 0.17874321341514587, 0.01618988811969757, -0.05551781505346298, -0.097439244389534, -0.05281077325344086]","[1.0, 1.85240850245109e-24, 0.0, 0.0]"
15,"[-1.2401032447814941, -0.8623964786529541, 0.5204981565475464, 1.286232829093933, -1.9437382221221924, -2.4618074893951416, -5.355085849761963, -5.15053653717041, -0.31533753871917725, 0.10140996426343918, -0.03506853058934212, -0.13068978488445282, -0.035562604665756226, 0.10811210423707962, 0.2663704454898834, 0.08557449281215668, 0.7423760294914246, -0.09125212579965591, 0.1806001216173172, 0.12906958162784576, 0.6280466318130493, 0.37873879075050354, 0.10002785176038742, 0.7549765110015869, -0.09944439679384232, 0.542851984500885]","[1.0, 2.1438381755277938e-24, 0.0, 0.0]"
16,"[-1.2344799041748047, -0.8667857050895691, 0.5197622179985046, 1.2730575799942017, -1.9296678304672241, -2.471714973449707, -5.703720569610596, -5.172449111938477, -0.33189070224761963, 0.017100907862186432, -0.13244225084781647, -0.01632935181260109, 0.03902067244052887, 0.09709601104259491, 0.2960149347782135, -0.1459110528230667, 0.9583536982536316, 0.285684198141098, 0.22813460230827332, 0.24842728674411774, 0.7277209758758545, 0.5631522536277771, 0.0725744217634201, 0.6306518316268921, -0.09025650471448898, 0.5290155410766602]","[1.0, 2.4811172332768478e-24, 0.0, 0.0]"
17,"[-1.2401137351989746, -0.8707265853881836, 0.517046332359314, 1.253947138786316, -1.9048473834991455, -2.467848300933838, -5.733715057373047, -5.173223495483398, -0.33510372042655945, -0.0464995875954628, -0.05007702484726906, -0.09271945804357529, -0.11125015467405319, -0.1022302657365799, 0.04561597481369972, 0.01969124749302864, 0.12024906277656555, -0.24685628712177277, -0.27434009313583374, -0.2627938389778137, -0.10705099254846573, 0.004585553891956806, -0.04778505861759186, -0.0025240364484488964, -0.05625520274043083, -0.036296963691711426]","[1.0, 2.8714584281699143e-24, 0.0, 0.0]"
18,"[-1.2579255104064941, -0.8980696797370911, 0.504614531993866, 1.2687268257141113, -1.8356012105941772, -2.4188270568847656, -5.608233451843262, -5.165327548980713, -0.3308209180831909, 0.11043858528137207, 0.06502893567085266, 0.12848003208637238, -0.10518167167901993, -0.01282787136733532, 0.2173636108636856, -0.1142197698354721, -0.3551033139228821, 0.1354176104068756, -0.2674119770526886, -0.2122614085674286, 0.44450873136520386, 0.2789772152900696, -0.11130614578723907, -0.055146001279354095, -0.04992867633700371, 0.00825673621147871]","[1.0, 3.323209486306042e-24, 0.0, 0.0]"
19,"[-1.2567970752716064, -0.8797937631607056, 0.5087648630142212, 1.2619911432266235, -1.8086475133895874, -2.4706544876098633, -4.936586856842041, -5.206828594207764, -0.30605626106262207, -0.046667490154504776, -0.05573489889502525, -0.004762415774166584, -0.06834589689970016, -0.1390477567911148, 0.10483663529157639, -0.10629529505968094, -0.30636757612228394, -0.21479465067386627, -0.14691181480884552, -0.07434556633234024, 0.5205570459365845, 0.3855372369289398, 0.12485238909721375, 0.00022522307699546218, -0.063845194876194, -0.023111572489142418]","[1.0, 3.846032967698057e-24, 0.0, 0.0]"
