frame_index,X_pose,X_step
564,"[-1.1829380989074707, -1.3889461755752563, -2.1976828575134277, -1.8826450109481812, 0.43124788999557495, 0.24537548422813416, 0.2692958116531372, 0.1575484275817871, 0.13316144049167633, -0.05956380441784859, -0.032782021909952164, -0.03724916651844978, -0.019328398630023003, -0.14834804832935333, 0.12496863305568695, -0.012273631058633327, 0.1372385174036026, 0.7768875360488892, 0.299083411693573, -0.017504023388028145, -0.12128443270921707, -0.0027016326785087585, -0.0393652617931366, 0.07333870977163315, -0.09733998775482178, 0.08991760015487671]","[6.790099298797925e-12, 1.0, 2.8014522428118855e-31, 0.0]"
565,"[-1.1433027982711792, -1.4434800148010254, -2.230210065841675, -2.0008938312530518, 0.45351454615592957, 0.24704577028751373, 0.2907351851463318, 0.15311194956302643, 0.08088204264640808, -0.007586147170513868, -0.024852482602000237, -2.9493159672711045e-05, -0.10858698189258575, -0.1336950957775116, -0.05660662055015564, 0.31789180636405945, 0.12881724536418915, 1.2288001775741577, 0.25614726543426514, -0.257451593875885, -0.14170873165130615, -0.06816928833723068, -0.055475473403930664, -0.10764310508966446, -0.044527482241392136, -0.012880798429250717]","[5.8670642129332595e-12, 1.0, 3.3372188229307975e-31, 0.0]"
566,"[-1.068466305732727, -1.3337855339050293, -2.2718749046325684, -1.905604600906372, 0.44927728176116943, 0.2623532712459564, 0.2682332694530487, 0.13843286037445068, 0.003214908065274358, 0.16739654541015625, 0.18303364515304565, 0.11961624026298523, 0.18700936436653137, 0.0878090187907219, 0.22271588444709778, 0.514001727104187, 0.03218928724527359, 0.4359544813632965, -0.3102831244468689, 0.15301892161369324, -0.11419328302145004, 0.1368170529603958, -0.06521818041801453, 0.11937177181243896, -0.06366446614265442, 0.08349721133708954]","[5.069506012894687e-12, 1.0, 3.975449484028966e-31, 0.0]"
567,"[-1.033715844154358, -1.3979829549789429, -2.139310121536255, -2.002953052520752, 0.44472795724868774, 0.2688210606575012, 0.2628801167011261, 0.12983936071395874, 0.008243813179433346, 0.21657635271549225, 0.2702297270298004, 0.2079082876443863, 0.39287644624710083, 0.31380197405815125, 0.2064450979232788, 0.6149486899375916, 0.22741320729255676, -0.3125603497028351, 0.4306454360485077, 0.17160531878471375, -0.13958653807640076, 0.10175599157810211, -0.0463852658867836, 0.09463123977184296, -0.009991031140089035, 0.11493787169456482]","[4.380365861700319e-12, 1.0, 4.7357394818357274e-31, 0.0]"
568,"[-0.9548435807228088, -1.3508023023605347, -2.3863203525543213, -2.0051543712615967, 0.463617742061615, 0.26254189014434814, 0.28575077652931213, 0.11045573651790619, -0.10919523239135742, -0.1674683541059494, -0.130996435880661, 0.009441711939871311, -0.019215574488043785, 0.4275565445423126, 0.06432431936264038, 0.32948464155197144, -0.2045569270849228, 0.17363408207893372, 1.264556646347046, -0.07324393838644028, -0.13415682315826416, 0.12418002635240555, -0.10212534666061401, -0.056863270699977875, -0.0394388772547245, -0.09630975127220154]","[3.7849064160599966e-12, 1.0, 5.641432018268582e-31, 0.0]"
569,"[-0.9077523946762085, -1.3505247831344604, -2.3277902603149414, -2.0247128009796143, 0.47025832533836365, 0.27243903279304504, 0.28983068466186523, 0.09910828620195389, -0.11824548989534378, -0.13478761911392212, -0.10558558255434036, 0.03350217267870903, -0.07452518492937088, 0.3488527834415436, 0.06359294801950455, 0.12366751581430435, 0.04410860687494278, 0.16769564151763916, 0.8132162094116211, -0.308186411857605, -0.19638048112392426, -0.02805648371577263, -0.07352538406848907, -0.03430318087339401, -0.040724895894527435, -0.07557634264230728]","[3.2703922035748345e-12, 1.0, 6.720334117492841e-31, 0.0]"
570,"[-0.8340247869491577, -1.2966142892837524, -2.312816619873047, -1.9227585792541504, 0.44941413402557373, 0.2840005159378052, 0.28379350900650024, 0.07624553889036179, -0.1884242445230484, -0.08553948253393173, -0.1549612581729889, -0.04404277727007866, -0.13109473884105682, -0.060807790607213974, -0.15692950785160065, -0.03641742840409279, -0.17865782976150513, -0.3067789077758789, -0.33881527185440063, -0.301097571849823, -0.2063000649213791, -0.1503295749425888, -0.10589854419231415, -0.04017745330929756, -0.09441852569580078, -0.0836099237203598]","[2.8258207405984503e-12, 1.0, 8.005572620907897e-31, 0.0]"
571,"[-0.6954445242881775, -1.0867921113967896, -2.1405205726623535, -1.7016571760177612, 0.413796067237854, 0.2928726375102997, 0.2725149989128113, 0.05386677384376526, -0.2048846036195755, 0.026415178552269936, 0.10928028076887131, -0.005102097988128662, 0.12534396350383759, 0.030014341697096825, 0.2199140042066574, -0.03953460231423378, -0.3268401324748993, 0.6910949349403381, 0.03051927499473095, -0.02196795865893364, 0.09767085313796997, -0.07434286922216415, 0.007076365407556295, -0.09302812814712524, 0.0811593309044838, 0.04004351422190666]","[2.441683574078146e-12, 1.0, 9.536608873870855e-31, 0.0]"
572,"[-0.6916995048522949, -1.1600275039672852, -2.1538736820220947, -1.8653056621551514, 0.38856589794158936, 0.3300953805446625, 0.25902795791625977, 0.04606606438755989, -0.20000913739204407, -0.018850166350603104, 0.09048964828252792, -0.017805559560656548, 0.11785247176885605, 0.08437947183847427, 0.0033028563484549522, 0.21056100726127625, -0.15202604234218597, -0.264403373003006, 0.07010804861783981, 0.11807512491941452, 0.004908974282443523, 0.16382567584514618, -0.03695390745997429, 0.0363735556602478, 0.09870173782110214, -0.035796552896499634]","[2.109765053631696e-12, 1.0, 1.1360448544482396e-30, 0.0]"
573,"[-0.5922286510467529, -1.039162278175354, -1.945960521697998, -1.7583539485931396, 0.39495009183883667, 0.341645747423172, 0.2536391317844391, 0.0369967445731163, -0.1686113476753235, -0.013590781018137932, 0.06856634467840195, -0.15645498037338257, -0.041470326483249664, -0.1026071161031723, -0.15830008685588837, -0.041169725358486176, -0.2502439022064209, 0.4194111227989197, 0.1940630078315735, -0.0007664944278076291, -0.2152778059244156, -0.0746220126748085, -0.074958935379982, 0.017855530604720116, -0.04669545963406563, -0.09880724549293518]","[1.8229673413167058e-12, 1.0, 1.3533091243220214e-30, 0.0]"
574,"[-0.4327861964702606, -0.9937910437583923, -1.8496379852294922, -1.726591944694519, 0.38844454288482666, 0.3666984736919403, 0.25791841745376587, 0.02685679867863655, -0.26260676980018616, 0.26678594946861267, 0.15914520621299744, 0.06716755777597427, -0.13969825208187103, -0.12323666363954544, -0.15414804220199585, -0.09652561694383621, -0.07476449757814407, -0.27383843064308167, 0.5873951315879822, -0.05554812401533127, 0.0016431253170594573, -0.06616592407226562, -0.04015585780143738, -0.06413637101650238, 0.006581542082130909, -0.04694770649075508]","[1.5751562380816875e-12, 1.0, 1.612124298310929e-30, 0.0]"
575,"[-0.4498063027858734, -0.8450719714164734, -1.9444283246994019, -1.550264596939087, 0.40444836020469666, 0.3760681748390198, 0.2435949742794037, 0.008293651975691319, -0.3376808166503906, -0.08778901398181915, -0.1301323026418686, -0.11297257989645004, -0.0760461613535881, -0.11639891564846039, -0.05748545005917549, 0.1704598218202591, 0.06563197821378708, 0.15982788801193237, 0.22105833888053894, 0.3734094202518463, 0.2204693704843521, 0.14190182089805603, -0.097971111536026, -0.08793533593416214, -0.06502372771501541, -0.02657816745340824]","[1.3610320552873145e-12, 1.0, 1.9204370943847135e-30, 0.0]"
576,"[-0.37484487891197205, -0.640961229801178, -1.8327052593231201, -1.3598419427871704, 0.3871178925037384, 0.3734923303127289, 0.2410946786403656, 0.000281099317362532, -0.2872408628463745, -0.02357935532927513, -0.037952639162540436, 0.07611934095621109, -0.12166435271501541, 0.16856473684310913, -0.03237145021557808, 0.26222240924835205, -0.2866881787776947, -0.29564228653907776, -0.17300185561180115, -0.02639852464199066, 0.03210141137242317, 0.28366392850875854, -0.03188008442521095, -0.024793485179543495, -0.04374276474118233, -0.03114311955869198]","[1.1760157734783117e-12, 1.0, 2.2877134394121284e-30, 0.0]"
577,"[-0.34414809942245483, -0.5917314291000366, -1.8055471181869507, -1.2648948431015015, 0.38195815682411194, 0.36762112379074097, 0.24202103912830353, -0.00894221756607294, -0.39042094349861145, -0.06416508555412292, -0.1291232407093048, 0.0022304016165435314, -0.12845519185066223, 0.08901595324277878, -0.07917898148298264, 0.07260221242904663, -0.3739461302757263, 0.38435351848602295, -0.2796125113964081, 0.12831243872642517, 0.02197682112455368, 0.15290716290473938, -0.10187978297472, -0.001737502752803266, 0.020340289920568466, 0.03570859506726265]","[1.016150163145324e-12, 1.0, 2.725229991759934e-30, 0.0]"
578,"[-0.17929840087890625, -0.4292762875556946, -1.6378639936447144, -1.1015980243682861, 0.3873578608036041, 0.35596147179603577, 0.2494092881679535, -0.01474019605666399, -0.46520787477493286, 0.13589636981487274, 0.04239079728722572, 0.12799954414367676, -0.017390890046954155, 0.10248313844203949, -0.05433323234319687, 0.11070755124092102, 0.10744830965995789, -0.11780038475990295, 0.6892625093460083, -0.005744770169258118, -0.10671143978834152, -0.07911553233861923, -0.054162733256816864, -0.10840269923210144, -0.033674661070108414, -0.09579787403345108]","[8.780164095778531e-13, 1.0, 3.246419736632039e-30, 0.0]"
579,"[0.019144291058182716, -0.41799986362457275, -1.3335062265396118, -1.0685738325119019, 0.383637934923172, 0.3645476698875427, 0.2414901852607727, -0.021071041002869606, -0.4391602575778961, 0.1317806839942932, 0.09051163494586945, 0.1342877596616745, -0.08563200384378433, 0.09467030316591263, 0.0006390898488461971, -0.06731563806533813, 0.13087904453277588, -0.05442166328430176, -0.26922574639320374, 0.2998799979686737, -0.17362254858016968, -0.01616974174976349, -0.06496915221214294, -0.10047460347414017, -0.015086475759744644, -0.0564144141972065]","[7.586603871165276e-13, 1.0, 3.867285383922798e-30, 0.0]"
580,"[0.23274122178554535, -0.27924054861068726, -1.0427312850952148, -0.9050097465515137, 0.38634049892425537, 0.34169867634773254, 0.2342178374528885, -0.038710225373506546, -0.39177122712135315, 0.06985218822956085, 0.06869672238826752, 0.09843836724758148, -0.023452945053577423, 0.1235332116484642, -0.06413678824901581, -0.0004799735324922949, -0.27411165833473206, 0.2268780767917633, -0.0507822148501873, 0.3111000657081604, -0.133275106549263, -0.073056161403656, -0.1101028248667717, -0.04423459991812706, -0.031886786222457886, -0.034040696918964386]","[6.555292875361218e-13, 1.0, 4.606888750025145e-30, 0.0]"
581,"[0.3573352098464966, -0.20774416625499725, -0.8810300230979919, -0.8769131898880005, 0.3417086899280548, 0.36152201890945435, 0.2775139808654785, -0.04008231684565544, -0.36212143301963806, -0.13487084209918976, -0.13886962831020355, -0.10860349237918854, -0.1243300512433052, -0.08826296031475067, -0.16376034915447235, -0.011727806180715561, 0.1341211497783661, -0.18337826430797577, -0.25172102451324463, -0.08542262017726898, -0.09551162272691727, -0.1253768503665924, -0.04089406505227089, -0.07976631075143814, -0.0541757307946682, -0.08504770696163177]","[5.664177894076916e-13, 1.0, 5.48793925732239e-30, 0.0]"
582,"[0.5080077052116394, -0.1508299857378006, -0.7144642472267151, -0.8330298066139221, 0.3309366703033447, 0.34174731373786926, 0.26676875352859497, -0.052119072526693344, -0.22898955643177032, -0.07249728590250015, -0.023629235103726387, -0.04470371827483177, 0.007767510134726763, 0.0036883174907416105, -0.15381808578968048, -0.18834756314754486, 0.4382005035877228, -0.07214611023664474, 0.08460547775030136, -0.08586275577545166, -0.19859769940376282, -0.06972004473209381, -0.030881626531481743, -0.022516559809446335, -0.0074752261862158775, -0.07866106927394867]","[4.894199195221161e-13, 1.0, 6.537487193736559e-30, 0.0]"
583,"[0.39332589507102966, -0.06795958429574966, -0.7901185154914856, -0.7325417399406433, 0.357499897480011, 0.3619009554386139, 0.23631614446640015, -0.0646650642156601, -0.3416629731655121, 0.00704279076308012, -0.013436337932944298, 0.022828111425042152, -0.07606298476457596, 0.08980350941419601, -0.09366098791360855, 0.0013854812132194638, -0.10308641195297241, -0.34344205260276794, -0.237380713224411, 8.363631059182808e-05, -0.15235282480716705, -0.21395917236804962, 0.03468140587210655, -0.032344527542591095, -0.0774812251329422, -0.07227088510990143]","[4.228889916198242e-13, 1.0, 7.78775577464968e-30, 0.0]"
584,"[0.25921329855918884, -0.01509603951126337, -0.9132199883460999, -0.6824632287025452, 0.366200715303421, 0.36591240763664246, 0.21268363296985626, -0.05858761444687843, -0.4814434349536896, -0.10908063501119614, -0.09154240787029266, -0.10621628910303116, -0.053547196090221405, -0.12996028363704681, -0.06194596365094185, -0.0573243573307991, -0.3688998818397522, -0.2338731735944748, -0.27410459518432617, -0.3084312081336975, -0.2047656774520874, -0.1981550008058548, -0.10179799050092697, -0.10427328944206238, 0.01956101879477501, -0.02370818518102169]","[3.6540218008480896e-13, 1.0, 9.277135329005939e-30, 0.0]"
585,"[0.24753610789775848, 0.004998623859137297, -0.9147551655769348, -0.6608923077583313, 0.36954382061958313, 0.3629038333892822, 0.1837863177061081, -0.07041985541582108, -0.5011482238769531, -0.12190285325050354, -0.10573622584342957, -0.09943470358848572, -0.10382738709449768, -0.11837144196033478, 0.04696134105324745, 0.029271306470036507, 0.9537276029586792, 0.3035612404346466, 0.04848390817642212, 0.24876444041728973, -0.04257560521364212, -0.07082253694534302, -0.10832979530096054, -0.09716735780239105, -0.045064132660627365, -0.09204644709825516]","[3.157299996534718e-13, 1.0, 1.1051351646656839e-29, 0.0]"
586,"[0.18792636692523956, -0.03176127374172211, -0.9465099573135376, -0.6923093795776367, 0.37948188185691833, 0.3637291491031647, 0.1740793138742447, -0.06111098825931549, -0.5223490595817566, -0.16206057369709015, -0.15069353580474854, -0.15442171692848206, -0.08632761985063553, -0.1400345414876938, 0.09147235006093979, -0.08270590007305145, -0.03982672095298767, -0.24369290471076965, -0.04444184526801109, -0.30279821157455444, -0.05904705822467804, -0.13719937205314636, -0.09118330478668213, -0.06970707327127457, -0.04819691553711891, -0.061198100447654724]","[2.728102303523744e-13, 1.0, 1.3164880709322313e-29, 0.0]"
587,"[0.14061544835567474, -0.05036543309688568, -0.9395363926887512, -0.66093510389328, 0.3603302240371704, 0.36868372559547424, 0.16415266692638397, -0.0595775730907917, -0.5449098944664001, -0.16743119060993195, -0.1369534730911255, -0.12088549882173538, -0.055980365723371506, -0.09337769448757172, 0.16355682909488678, -0.13777966797351837, -0.21722573041915894, -0.022393159568309784, -0.3443334102630615, -0.22762338817119598, -0.04391247406601906, -0.18388500809669495, -0.040484439581632614, -0.057041820138692856, -0.03519589826464653, -0.09963314980268478]","[2.357248782020732e-13, 1.0, 1.5682615823698827e-29, 0.0]"
588,"[0.11990868300199509, -0.04720019921660423, -0.9407745599746704, -0.6482641696929932, 0.35869789123535156, 0.3728795051574707, 0.16375473141670227, -0.047909099608659744, -0.5667210221290588, -0.1656160056591034, -0.15539084374904633, -0.10716558992862701, -0.12691378593444824, -0.038488712161779404, -0.08446221798658371, -0.009408613666892052, 0.03882260620594025, -0.09893019497394562, -0.11346356570720673, -0.3052332103252411, -0.21085061132907867, -0.10751161724328995, -0.034249983727931976, -0.08021236956119537, -0.041677214205265045, -0.0436616949737072]","[2.0368080865581367e-13, 1.0, 1.8681854489030917e-29, 0.0]"
589,"[0.25694069266319275, 0.038634542375802994, -0.7641965746879578, -0.5474480390548706, 0.35173705220222473, 0.3545352816581726, 0.16057606041431427, -0.06673460453748703, -0.5570412874221802, 0.011102907359600067, 0.028608310967683792, 0.057410337030887604, 0.08241357654333115, 0.12149764597415924, -0.12551574409008026, -0.028645457699894905, 0.635857105255127, -0.08025125414133072, -0.16124409437179565, -0.31153199076652527, -0.21693161129951477, -0.16329756379127502, -0.10780530422925949, -0.10620661824941635, -0.0737680047750473, -0.08668231964111328]","[1.7599279238805776e-13, 1.0, 2.2254689258581212e-29, 0.0]"
590,"[0.26206105947494507, 0.11126766353845596, -0.7083634734153748, -0.4239271283149719, 0.3624771237373352, 0.35926365852355957, 0.15936441719532013, -0.06955211609601974, -0.5287596583366394, 0.026898525655269623, 0.05435892939567566, 0.06335248798131943, 0.039106860756874084, 0.1294141411781311, -0.15675747394561768, -0.05802326649427414, 0.5232634544372559, 0.012172553688287735, -0.010312926024198532, -0.11472222208976746, -0.10420858860015869, -0.20685546100139618, -0.02385862171649933, -0.07673373073339462, -0.08434038609266281, -0.053073931485414505]","[1.520686381721939e-13, 1.0, 2.6510816889010255e-29, 0.0]"
591,"[0.4299980401992798, 0.18818143010139465, -0.47302529215812683, -0.33706215023994446, 0.381552129983902, 0.3628585934638977, 0.15760649740695953, -0.060840483754873276, -0.5736934542655945, 0.07638604193925858, 0.10254215449094772, 0.08562187850475311, 0.09227371960878372, 0.12169601023197174, -0.18089036643505096, 0.0622696727514267, 0.8583350777626038, 0.09545727074146271, -0.18557371199131012, -0.17380250990390778, -0.14462406933307648, -0.09430726617574692, -0.017266159877181053, -0.1024080216884613, -0.07769186049699783, -0.0874619409441948]","[1.3139668389797188e-13, 1.0, 3.158090871777918e-29, 0.0]"
592,"[0.44776734709739685, 0.2501237690448761, -0.4504779577255249, -0.2701632082462311, 0.3948798179626465, 0.36662763357162476, 0.15236276388168335, -0.0559518001973629, -0.5823938846588135, -0.015954039990901947, -0.02494048699736595, 0.005857484415173531, -0.02611563727259636, 0.05118270963430405, -0.12592223286628723, 0.10700026154518127, 1.0095576047897339, -0.02611389383673668, 0.3938351273536682, -0.04902476444840431, -0.09282932430505753, -0.010736861266195774, -0.022621160373091698, -0.08205020427703857, -0.07579037547111511, -0.09927695989608765]","[1.1353483935329714e-13, 1.0, 3.7620640069705245e-29, 0.0]"
593,"[0.45212966203689575, 0.32815787196159363, -0.4246816337108612, -0.1931849718093872, 0.4257670044898987, 0.3561483919620514, 0.11820143461227417, -0.07688350975513458, -0.4857918620109558, -0.058117955923080444, -0.06874706596136093, -0.091452956199646, -0.11702528595924377, -0.0979762002825737, -0.038731396198272705, -0.10320358723402023, -0.06626900285482407, -0.24440094828605652, -0.26620256900787354, -0.24189656972885132, -0.203504741191864, -0.20923039317131042, -0.10828879475593567, -0.09941179305315018, -0.07888637483119965, -0.05892231687903404]","[9.810110623148516e-14, 1.0, 4.4815441887246475e-29, 0.0]"
594,"[0.45766547322273254, 0.3513392210006714, -0.3790174722671509, -0.1616017073392868, 0.4288427531719208, 0.3721199035644531, 0.1227676197886467, -0.060719896107912064, -0.44205084443092346, -0.08591566979885101, -0.11128940433263779, -0.09968447685241699, -0.08225944638252258, -0.0977700725197792, 0.0008309076074510813, -0.08103685826063156, -0.16153812408447266, 0.14047250151634216, -0.19780407845973969, 0.06706023961305618, -0.10143611580133438, -0.1711132973432541, -0.05523974075913429, -0.09696748107671738, -0.08487002551555634, -0.09690528362989426]","[8.47654059573863e-14, 1.0, 5.338622435355517e-29, 0.0]"
595,"[0.463863343000412, 0.5058075785636902, -0.24807588756084442, 0.05312766507267952, 0.4458164572715759, 0.3664851188659668, 0.11486148089170456, -0.05142895132303238, -0.14896248281002045, -0.07629341632127762, -0.1006157398223877, -0.07591965049505234, -0.10033097863197327, -0.10024522989988327, -0.08832056075334549, 0.07535510510206223, 0.002578440820798278, 1.1522548198699951, 0.5967541933059692, -0.06399315595626831, -0.17584186792373657, -0.16142797470092773, -0.11332434415817261, -0.10979830473661423, -0.05661608278751373, -0.09564829617738724]","[7.324253914952825e-14, 1.0, 6.359613871214199e-29, 0.0]"
596,"[0.3761022388935089, 0.4514423906803131, -0.3907862901687622, -0.03556070476770401, 0.4490591883659363, 0.3683602511882782, 0.08976607769727707, -0.07286746054887772, -0.04924851655960083, -0.028547368943691254, -0.06306393444538116, -0.057865042239427567, -0.1310458779335022, -0.0855257660150528, -0.17904211580753326, -0.07310936599969864, -0.1635339856147766, 1.0345808267593384, 0.43335625529289246, -0.06748491525650024, -0.19384728372097015, -0.05206655338406563, -0.03162197768688202, -0.00910778809338808, -0.07929060608148575, -0.03114316612482071]","[6.328607343036863e-14, 1.0, 7.575866316337689e-29, 0.0]"
597,"[0.4695858657360077, 0.47627881169319153, -0.26192936301231384, -0.013675536029040813, 0.42397409677505493, 0.34564098715782166, 0.09563631564378738, -0.05828940495848656, -0.10691829770803452, -0.10469921678304672, -0.09954073280096054, -0.12787950038909912, -0.07860823720693588, -0.1452735960483551, -0.08274999260902405, -0.14311560988426208, -0.2868460714817047, -0.023302234709262848, -0.2796638309955597, -0.2847769260406494, -0.16317810118198395, -0.14642485976219177, -0.07344460487365723, -0.08342917263507843, 0.06411253660917282, 0.02196234092116356]","[5.468307149323129e-14, 1.0, 9.02472234864144e-29, 0.0]"
598,"[0.5071409940719604, 0.503587543964386, -0.12898676097393036, 0.03557024523615837, 0.38774290680885315, 0.33986878395080566, 0.07662106305360794, -0.0659719705581665, 0.009756362065672874, -0.1284840703010559, -0.10848137736320496, -0.0774640142917633, -0.12273276597261429, -0.1101897656917572, -0.1569962054491043, -0.0924866572022438, -0.010993159376084805, -0.16757863759994507, -0.2890568971633911, -0.14513514935970306, -0.1626197099685669, -0.16055676341056824, -0.10265305638313293, -0.08053325116634369, -0.04389891400933266, 0.008281774818897247]","[4.724954422944544e-14, 1.0, 1.0750666135015936e-28, 0.0]"
599,"[0.602815568447113, 0.6113914251327515, 0.07297399640083313, 0.18112948536872864, 0.4116327464580536, 0.3461326062679291, 0.08435537666082382, -0.04907505214214325, -0.04728283733129501, 0.09952573478221893, 0.10939498990774155, 0.09427473694086075, 0.06609666347503662, -0.0524149090051651, -0.08619479089975357, -0.11493195593357086, 0.05162724480032921, 0.2127014398574829, -0.2390948385000229, -0.20569543540477753, -0.14714471995830536, -0.20325176417827606, -0.05084318295121193, -0.060750145465135574, 0.008635448291897774, -0.07854177057743073]","[4.082652727173397e-14, 1.0, 1.2806691443440314e-28, 0.0]"
600,"[0.666966438293457, 0.6655215620994568, 0.1259867250919342, 0.2652904987335205, 0.4193809926509857, 0.36549845337867737, 0.09235066920518875, -0.060974106192588806, -0.23184913396835327, 0.028575994074344635, 0.03844553604722023, -0.061736807227134705, -0.09340677410364151, -0.09439778327941895, 0.40825921297073364, 0.27142345905303955, -0.1495962142944336, -0.25409334897994995, -0.19828499853610992, -0.020284246653318405, 0.46123382449150085, 0.16083920001983643, 0.08147173374891281, -0.014086968265473843, -0.04324587807059288, 0.00665831845253706]","[3.527663526418402e-14, 1.0, 1.5255921831548082e-28, 0.0]"
601,"[0.6888653039932251, 0.7214893102645874, 0.17925669252872467, 0.3457690477371216, 0.431360125541687, 0.36213141679763794, 0.07628066092729568, -0.07742778956890106, -0.21403712034225464, -0.08643139153718948, -0.10010812431573868, -0.08007224649190903, -0.019893141463398933, -0.11633819341659546, 0.5008413791656494, 0.39614906907081604, -0.12057769298553467, -0.14051884412765503, -0.17687416076660156, 0.0676930844783783, 0.5381709337234497, 0.3004147410392761, 0.07664216309785843, 0.06099945679306984, -0.009049689397215843, 0.042283158749341965]","[3.0481185338358113e-14, 1.0, 1.8173558845136485e-28, 0.0]"
602,"[0.7141228914260864, 0.7601984143257141, 0.08143752813339233, 0.375171035528183, 0.44374436140060425, 0.38973525166511536, 0.1342138946056366, -0.016386868432164192, -0.2792724668979645, -0.13580085337162018, -0.14652502536773682, -0.12451394647359848, -0.13906490802764893, 0.01781810261309147, -0.00792983639985323, -0.0419490672647953, -0.24721139669418335, -0.2176084667444229, -0.01391651201993227, -0.048276137560606, 0.015491294674575329, -0.11826688796281815, -0.04877670109272003, -0.05078389495611191, 0.06243864446878433, -0.0677652359008789]","[2.6337627215332164e-14, 1.0, 2.164918350445005e-28, 0.0]"
603,"[0.7329707741737366, 0.8111953735351562, 0.22924485802650452, 0.4726758301258087, 0.44679731130599976, 0.403313547372818, 0.22295229136943817, 0.10896061360836029, -0.21892203390598297, -0.15143434703350067, -0.12976813316345215, -0.10972175747156143, -0.13730007410049438, -0.03311639651656151, -0.09867246448993683, -0.09350556135177612, -0.31733494997024536, -0.1996939331293106, -0.2676307260990143, -0.2356220781803131, -0.06518974155187607, -0.023014120757579803, -0.06766398251056671, -0.08460433036088943, -0.043219659477472305, -0.059139762073755264]","[2.2757334143769063e-14, 1.0, 2.578950677288241e-28, 0.0]"
604,"[0.7465237379074097, 0.8227447271347046, 0.17257815599441528, 0.48154154419898987, 0.46295166015625, 0.39436206221580505, 0.27844440937042236, 0.1828937977552414, -0.2749146819114685, -0.14618563652038574, -0.152757465839386, -0.10973967611789703, -0.13357362151145935, -0.08158102631568909, -0.12241081893444061, -0.09230447560548782, -0.3691464364528656, 0.04505668208003044, -0.0834425687789917, -0.15677620470523834, -0.15625762939453125, -0.13345259428024292, 0.05446133762598038, -0.0309518501162529, 0.006926100235432386, 0.07805488258600235]","[1.96637411215006e-14, 1.0, 3.072165206382528e-28, 0.0]"
605,"[0.7321133017539978, 0.848876416683197, 0.07923412322998047, 0.49135372042655945, 0.4683604836463928, 0.38237297534942627, 0.284457266330719, 0.21397198736667633, -0.2552913427352905, -0.12499073892831802, -0.12990950047969818, -0.11581570655107498, -0.1259365677833557, -0.1397365778684616, -0.12899622321128845, -0.0917210802435875, -0.2065626084804535, -0.20709942281246185, -0.28673645853996277, -0.008347490802407265, -0.08049487322568893, 0.1170782670378685, 0.13563589751720428, -0.005455946084111929, 0.1441965103149414, 0.12255632132291794]","[1.699068640501674e-14, 1.0, 3.6597052841393393e-28, 0.0]"
606,"[0.7166624069213867, 0.8291639089584351, 0.04552268236875534, 0.47292667627334595, 0.4662281572818756, 0.38396814465522766, 0.2900187373161316, 0.21721725165843964, -0.27042919397354126, -0.12404508143663406, -0.11106362193822861, -0.1217074766755104, -0.09916656464338303, -0.10132575780153275, -0.12969669699668884, -0.09384492039680481, -0.08333802968263626, -0.18521463871002197, -0.22161540389060974, -0.09282862395048141, -0.10961742699146271, -0.1152665987610817, -0.0755627453327179, -0.10409943014383316, -0.03905818983912468, -0.046380769461393356]","[1.4681000352575503e-14, 1.0, 4.359609651900292e-28, 0.0]"
607,"[0.6117121577262878, 0.7891920208930969, -0.05288692191243172, 0.4309235215187073, 0.46537595987319946, 0.3810594379901886, 0.286029577255249, 0.2371981143951416, -0.17520180344581604, -0.16931979358196259, -0.14756134152412415, -0.10597626864910126, -0.07067526131868362, -0.06617153435945511, -0.10586737841367722, -0.0484551303088665, 0.22058655321598053, -0.34996405243873596, 0.15975035727024078, -0.3011975884437561, -0.14291152358055115, -0.18158790469169617, 0.021090883761644363, -0.06696911156177521, -0.062201760709285736, 0.004423967096954584]","[1.2685289931923648e-14, 1.0, 5.193368798949831e-28, 0.0]"
608,"[0.41694799065589905, 0.649860680103302, -0.2634725868701935, 0.28975898027420044, 0.4588375687599182, 0.3694416284561157, 0.26673147082328796, 0.2572188973426819, -0.1424056440591812, 0.09275195002555847, 0.12546178698539734, 0.02283160574734211, 0.1032414510846138, -0.06929614394903183, 0.041175227612257004, -0.11033432185649872, 0.06188381835818291, 0.5704095959663391, -0.02493656985461712, -0.06744091212749481, -0.1490701138973236, -0.12851393222808838, -0.10465031862258911, -0.08449836075305939, -0.06284850835800171, -0.08837946504354477]","[1.0960872305816084e-14, 1.0, 6.186580982402537e-28, 0.0]"
609,"[0.4162820875644684, 0.6877249479293823, -0.28628337383270264, 0.34858980774879456, 0.4572545289993286, 0.34429502487182617, 0.26347339153289795, 0.2962607443332672, -0.1384659707546234, 0.09475655853748322, 0.0897580161690712, 0.07660078257322311, 0.10045433789491653, 0.05164376273751259, 0.17354311048984528, -0.07975158095359802, 0.34118181467056274, 0.18957817554473877, 0.2896099090576172, 0.060860224068164825, -0.10174764692783356, -0.19404874742031097, -0.041292473673820496, -0.019133608788251877, -0.06402561813592911, -0.09375473856925964]","[9.470871047861148e-15, 1.0, 7.369741376997836e-28, 0.0]"
