epoch,train_loss,val_loss,train_step_loss,val_step_loss,train_progress_loss,val_progress_loss,train_acc,val_acc,train_progress_mae,val_progress_mae
1,2.222480572039081,2.1549014023372104,1.9711285829544067,1.9502782481057304,0.25135198869411984,0.2046231414590563,0.07153806847215124,0.11659192825112108,0.38258599646149144,0.3472073780638831
2,1.9993293208460654,1.900987148284912,1.8724364849828905,1.7982949018478394,0.12689284481588872,0.10269224430833544,0.3198773633111906,0.4080717488789238,0.27860713894328765,0.26559101045131683
3,1.6995579821448172,1.7980429444994246,1.594147986942722,1.6819521869931902,0.1054099932793648,0.11609073409012385,0.48390393459376596,0.4170403587443946,0.2706322458482558,0.2969974343265806
4,1.5882867738123863,1.812537772314889,1.4913529263388725,1.6966763734817505,0.09693383828045861,0.11586139244692666,0.4905467552376086,0.42152466367713004,0.2655978438354308,0.2978431667600359
5,1.548020208554883,1.816082443509783,1.4520747392408309,1.7005489213126046,0.09594546784196169,0.11553355412823814,0.49463464486458864,0.4080717488789238,0.2651328385597275,0.2981404406683786
6,1.5176896351960398,1.8144927365439278,1.4227428325722296,1.701263087136405,0.09494680694995387,0.1132296584546566,0.49923352069494126,0.4080717488789238,0.26354771972663943,0.2952985997710909
7,1.4940582369604418,1.8094841582434518,1.3996819224088424,1.698276059968131,0.09437631163746119,0.11120811051556043,0.5068983137455289,0.3901345291479821,0.2620050613918612,0.2926191453422819
8,1.4746321824289137,1.8028507743562971,1.3806261804796034,1.6934527329036169,0.09400599861457463,0.10939802761588778,0.515074092999489,0.38565022421524664,0.2605652374125296,0.2900958912713187
9,1.4568836040073825,1.7847130298614502,1.3629802181836097,1.6795895269938879,0.09390339069068432,0.10512350818940572,0.5212059274399591,0.38565022421524664,0.26004843990648946,0.2832565350191934
10,1.4392289500082693,1.7649963412966048,1.3456164987817887,1.66443817956107,0.09361245281874173,0.10055814098034586,0.5298926928972918,0.39461883408071746,0.25889257101282,0.27639617238725933
11,1.4231818380855745,1.7424194642475672,1.3296982732511335,1.64276465347835,0.0934835631820944,0.09965480012553078,0.5390904445579969,0.4125560538116592,0.2573307198622534,0.27531662370477405
