epoch,train_loss,val_loss,train_step_loss,val_step_loss,train_progress_loss,val_progress_loss,train_acc,val_acc,train_progress_mae,val_progress_mae
1,1.7911212675530335,1.8541699988501412,1.6727103971201798,1.757495437349592,0.11841087280933199,0.0966745742729732,0.4161255411255411,0.3738738738738739,0.27848483853299044,0.2626136839389801
2,1.5124570424186772,1.7787490912846156,1.4096759408712387,1.6801004580089025,0.1027810994278768,0.09864865669182368,0.5205627705627706,0.35135135135135137,0.27461210792434626,0.26178918140275137
3,1.4481153405945877,1.8121012960161482,1.352804503564177,1.7153509514672416,0.0953108443364758,0.09675034188798495,0.5297619047619048,0.35135135135135137,0.26427102602761365,0.25240068989140646
4,1.408515477488781,1.859634552683149,1.3159846152211059,1.7658495562417167,0.09253085725780191,0.09378501560006823,0.5378787878787878,0.3333333333333333,0.26093965961501514,0.24736701164926803
5,1.3837621977617,1.9366830246789115,1.293047538862146,1.848758339881897,0.0907146624000422,0.08792467042803764,0.5497835497835498,0.25225225225225223,0.2587921675936929,0.24098192368234908
6,1.364184267048178,1.8383831126349313,1.2735104185753856,1.747321265084403,0.09067384844067795,0.09106183105281421,0.5611471861471862,0.34234234234234234,0.258528890280888,0.24532940983772278
7,1.3396577377771508,1.999233501298087,1.2506692800028572,1.909742304256984,0.08898846047191784,0.08949122897216252,0.5595238095238095,0.24774774774774774,0.2566613346852105,0.24547029393059866
8,1.3234706739413327,1.9217231273651123,1.234353754284053,1.8310204574040003,0.08911692354314286,0.09070262685418129,0.566017316017316,0.2927927927927928,0.2557828647309336,0.24591523834637233
9,1.2984569581418202,1.9152946472167969,1.2102636114276688,1.822323543684823,0.0881933404196953,0.09297108596989087,0.5827922077922078,0.3063063063063063,0.2542666219945612,0.24589120490210398
10,1.2759120662150711,1.9714892421449934,1.1888247923604374,1.8781573942729406,0.08708727873604873,0.09333187288471631,0.5876623376623377,0.2972972972972973,0.2516951942495231,0.2516837354217257
11,1.2513859868049622,1.9618277549743652,1.165359938581442,1.864905493600028,0.08602605458220532,0.09692227095365524,0.5968614718614719,0.30180180180180183,0.24961174138147255,0.2516434852566038
12,1.2347512291423206,2.0176507575171336,1.1505335117208546,1.9255008356911796,0.08421772040812106,0.09214991543974195,0.6076839826839827,0.2972972972972973,0.24724734471789722,0.24240127418722426
13,1.2237598012233604,2.18271917956216,1.1395195197185566,2.0841089146477834,0.08424028060559569,0.0986102782189846,0.612012987012987,0.22972972972972974,0.246926406591103,0.25398909407002584
14,1.2041374110970005,2.0057126794542586,1.121437928286092,1.90785471030644,0.08269948371011636,0.09785798458116395,0.6244588744588745,0.34684684684684686,0.24233749174866184,0.24779334664344788
15,1.1597763613380234,1.9324957302638464,1.078537271711333,1.8437586171286446,0.08123908814942014,0.08873710994209562,0.6374458874458875,0.36036036036036034,0.24056292582174826,0.24140901012080057
16,1.1380770314356377,2.0464105435780118,1.0552228734154125,1.9511474881853377,0.08285415577220506,0.09526306071451732,0.6444805194805194,0.31981981981981983,0.2422821737568954,0.2509448911462511
17,1.1454624132863407,2.1368486200060164,1.0647065066571892,2.0403482062476024,0.08075590194042387,0.09650037490895816,0.6385281385281385,0.28378378378378377,0.23778355918053923,0.2492968418768474
18,1.1478546056254157,2.2154637234551564,1.0665754501161904,2.1115481512887135,0.08127915480270467,0.10391556365149361,0.6217532467532467,0.27927927927927926,0.23864170600628032,0.2521556743553707
19,1.1166733174488461,1.9792567321232386,1.0351151114907757,1.8739826679229736,0.08155820791705928,0.10527407910142626,0.658008658008658,0.36936936936936937,0.2397344764964334,0.2559958142893655
20,1.1338043392732227,2.1208503416606357,1.054987798733958,2.0135221821921214,0.07881654150270183,0.10732812913400787,0.6433982683982684,0.32882882882882886,0.23267821119777088,0.2591911554336548
