frame,nose_speed,left_eye_speed,right_eye_speed,left_ear_speed,right_ear_speed,left_shoulder_speed,right_shoulder_speed,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_hip_speed,right_hip_speed,left_knee_speed,right_knee_speed,left_ankle_speed,right_ankle_speed,nose_accel,left_eye_accel,right_eye_accel,left_ear_accel,right_ear_accel,left_shoulder_accel,right_shoulder_accel,left_elbow_accel,right_elbow_accel,left_wrist_accel,right_wrist_accel,left_hip_accel,right_hip_accel,left_knee_accel,right_knee_accel,left_ankle_accel,right_ankle_accel,nose_dist_hip,left_eye_dist_hip,right_eye_dist_hip,left_ear_dist_hip,right_ear_dist_hip,left_shoulder_dist_hip,right_shoulder_dist_hip,left_elbow_dist_hip,right_elbow_dist_hip,left_wrist_dist_hip,right_wrist_dist_hip,left_hip_dist_hip,right_hip_dist_hip,left_knee_dist_hip,right_knee_dist_hip,left_ankle_dist_hip,right_ankle_dist_hip,nose_dist_shoulder,left_eye_dist_shoulder,right_eye_dist_shoulder,left_ear_dist_shoulder,right_ear_dist_shoulder,left_shoulder_dist_shoulder,right_shoulder_dist_shoulder,left_elbow_dist_shoulder,right_elbow_dist_shoulder,left_wrist_dist_shoulder,right_wrist_dist_shoulder,left_hip_dist_shoulder,right_hip_dist_shoulder,left_knee_dist_shoulder,right_knee_dist_shoulder,left_ankle_dist_shoulder,right_ankle_dist_shoulder,nose_dist_half_body,left_eye_dist_half_body,right_eye_dist_half_body,left_ear_dist_half_body,right_ear_dist_half_body,left_shoulder_dist_half_body,right_shoulder_dist_half_body,left_elbow_dist_half_body,right_elbow_dist_half_body,left_wrist_dist_half_body,right_wrist_dist_half_body,left_hip_dist_half_body,right_hip_dist_half_body,left_knee_dist_half_body,right_knee_dist_half_body,left_ankle_dist_half_body,right_ankle_dist_half_body,left_elbow_angle_deg,right_elbow_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,neck_angle_deg,wrist/shoulder_ratio
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7329189,1.8378011,1.8067225,1.9584196,1.9033356,1.7501491,1.5428056,0.7546872,0.80680865,0.82088816,1.0328951,0.1640014,0.16400135,0.75164425,0.8437266,0.5495016,0.6039929,0.3878359,0.35361037,0.38552272,0.32854134,0.3674807,0.25489572,0.25489575,0.8839662,1.3651624,1.8979695,2.1362128,1.5960541,1.6792057,2.3004394,2.287799,2.124562,2.1558943,0.95527285,1.042646,1.0209168,1.1434629,1.1021334,0.9485942,0.74729145,0.10634184,0.7701548,1.2140456,1.4666195,0.7892887,0.87129104,1.5047686,1.519468,1.3204893,1.3572686,156.50832,177.26613,15.326072,24.909695,146.82655,0.4965601
1,0.040252835,0.040048476,0.04948297,0.029353002,0.02690475,0.04295688,0.06529339,0.08399747,0.04667021,0.01960326,0.022489665,0.060301334,0.06506326,0.026861057,0.036400028,0.015072071,0.028741246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7391299,1.8391956,1.820249,1.9417495,1.9211493,1.7860277,1.6059072,0.7910537,0.87268746,0.8772039,1.0678338,0.15661944,0.15661952,0.7654391,0.9196496,0.56246156,0.6557628,0.44677833,0.3843971,0.44320506,0.26161262,0.38364857,0.24600375,0.24600375,0.94392073,1.3734723,1.9664695,2.1786504,1.6651967,1.7099639,2.326259,2.3744116,2.158328,2.2325244,0.95190185,1.029187,1.0241553,1.1015632,1.1013744,0.95876575,0.7834241,0.22891371,0.7861489,1.2697519,1.4958004,0.8323042,0.8765149,1.514171,1.5924251,1.3346897,1.4146096,165.69958,179.87027,21.29528,26.619167,158.27621,0.46072486
2,0.032973945,0.038925525,0.028944701,0.03266889,0.008450885,0.018588586,0.018224547,0.0661412,0.04756262,0.038177844,0.01805946,0.028698491,0.047103643,0.018388383,0.040096175,0.040639855,0.054401997,0.0072788894,0.0011229515,0.02053827,0.0033158865,0.018453866,0.024368295,0.04706884,0.01785627,0.0008924119,0.018574584,0.0044302046,0.031602845,0.017959617,0.008472674,0.0036961474,0.025567785,0.025660751,1.7536277,1.8545579,1.83419,1.9254977,1.9069376,1.7565241,1.5791142,0.7423474,0.87897044,0.9441577,1.1109377,0.14422935,0.1442294,0.7950374,0.9206437,0.5591789,0.63810176,0.47383496,0.42347163,0.46806914,0.27394488,0.38036475,0.2317759,0.2317759,0.9988021,1.4132993,1.9924707,2.1889853,1.6376332,1.682647,2.3223479,2.3477368,2.1253324,2.186436,0.9828136,1.0608554,1.0524869,1.0987953,1.0984544,0.9410665,0.76793146,0.30066645,0.8372931,1.3216445,1.5260986,0.8169332,0.86145747,1.5260241,1.579805,1.3156432,1.3819898,164.55768,179.33353,22.2746,28.442444,153.0951,0.4410658
3,0.010646891,0.01683662,0.014747418,0.009627598,0.031219926,0.05155244,0.026826566,0.09442633,0.004551157,0.05880571,0.02588666,0.04646714,0.063336685,0.057070814,0.059105106,0.06200722,0.067696966,0.022327054,0.022088904,0.0141972825,0.02304129,0.022769041,0.032963857,0.008602019,0.028285123,0.043011464,0.020627867,0.0078272,0.01776865,0.016233042,0.03868243,0.01900893,0.021367364,0.013294969,1.7061146,1.7989076,1.7870268,1.8794148,1.8831179,1.7278496,1.5617402,0.7415728,0.88195574,1.0312947,1.1724211,0.13082467,0.13082469,0.8685326,0.93387544,0.5891464,0.6549852,0.45445547,0.39333755,0.44898504,0.24676295,0.37885246,0.20992899,0.20992903,1.0573117,1.4234607,2.054918,2.2232282,1.6224428,1.6547705,2.3851802,2.3597705,2.152559,2.202148,0.94426364,1.0140746,1.0151263,1.06278,1.0852588,0.92071855,0.75796217,0.40850273,0.85732067,1.4057326,1.5784845,0.8109708,0.84299797,1.5983343,1.5978973,1.3502806,1.4043454,168.26372,179.61134,25.513762,29.564888,155.12909,0.41192862
4,0.05982209,0.062176023,0.06239749,0.025138658,0.028968662,0.068082325,0.034501795,0.00467069,0.033649098,0.009893559,0.015690265,0.063294746,0.054453976,0.010415451,0.01748369,0.025394524,0.035322774,0.0491752,0.0453394,0.047650073,0.015511059,0.0022512637,0.016529884,0.0076752286,0.08975564,0.02909794,0.048912153,0.010196395,0.016827606,0.008882709,0.046655364,0.041621417,0.036612697,0.032374192,1.655419,1.7446469,1.7381413,1.8500432,1.8731563,1.7580013,1.5543149,0.741003,0.93009734,1.0904194,1.2430856,0.13101764,0.13101764,0.9129308,0.9757089,0.6343111,0.6923733,0.52096605,0.4401653,0.50535357,0.21491462,0.40471032,0.21719721,0.21719725,1.1098726,1.5024121,2.1019602,2.2840016,1.624916,1.6751398,2.4221797,2.3988554,2.2014794,2.2470505,0.91071105,0.9706982,0.9806857,1.0285474,1.0769114,0.9446467,0.74499685,0.4625333,0.94055694,1.458462,1.6445208,0.80761665,0.85738856,1.6351404,1.6360756,1.395678,1.4449203,167.41959,178.40738,26.013021,31.865137,159.78058,0.42916894
5,0.010979398,0.011312876,0.012301113,0.013872859,0.003712967,0.025972402,0.0096583,0.018280244,0.028694348,0.025816265,0.005114848,0.03642506,0.043233953,0.006729454,0.010247734,0.03036681,0.031627245,0.04884269,0.050863147,0.050096378,0.0112657985,0.025255695,0.04210992,0.024843495,0.013609554,0.0049547497,0.015922707,0.010575417,0.026869684,0.011220023,0.0036859969,0.0072359564,0.0049722865,0.003695529,1.6423135,1.7291878,1.7253591,1.8134868,1.8469152,1.6993659,1.5164175,0.7175532,0.94647855,1.1038387,1.2737337,0.12807353,0.12807354,0.94589573,1.004895,0.69958514,0.75916535,0.5134206,0.44138715,0.49971968,0.22604331,0.4037908,0.20996751,0.20996746,1.1104927,1.5131359,2.0585997,2.263434,1.5814531,1.6220374,2.3986983,2.3755822,2.2147217,2.2615862,0.91814923,0.9772703,0.9878728,1.0161278,1.0722277,0.9102561,0.7310301,0.4864556,0.97739536,1.4459416,1.6538943,0.7882253,0.8284353,1.6391574,1.639879,1.4352026,1.4859854,166.46423,177.9051,26.931662,33.30968,158.03615,0.49712202
6,0.021781944,0.024011275,0.023834007,0.009591673,0.008108535,0.022603909,0.0274833,0.043620516,0.01259691,0.055436343,0.011186166,0.04077677,0.046646018,0.012953523,0.03410615,0.0067946347,0.019539492,0.010802546,0.012698399,0.011532893,0.0042811865,0.004395568,0.0033684932,0.017825,0.025340272,0.016097438,0.029620077,0.006071318,0.004351709,0.0034120642,0.006224069,0.023858417,0.023572175,0.012087753,1.6037194,1.6864479,1.6853994,1.7790741,1.8194011,1.6852951,1.5095668,0.7153411,0.9688713,1.1716038,1.3194646,0.12369603,0.12369604,0.9766741,1.0232865,0.73660743,0.7904933,0.53245693,0.4521068,0.5137617,0.20662911,0.40235108,0.20348966,0.20348969,1.1706526,1.52911,2.13685,2.2962358,1.5731739,1.6099443,2.410515,2.3903334,2.232143,2.2808654,0.8934141,0.94590104,0.9605918,0.9871047,1.051917,0.90071595,0.72840613,0.55816287,1.0044501,1.5296626,1.696266,0.7845788,0.82102764,1.6591305,1.6585779,1.4604802,1.5113204,168.16093,177.23325,28.120005,34.414585,162.04805,0.40947205
7,0.024444813,0.024210786,0.02489402,0.012339876,0.014121815,0.014581825,0.02309742,0.021798812,0.034382578,0.034791842,0.016159354,0.041549914,0.04398772,0.016763302,0.025007518,0.015565109,0.015538617,0.0026628692,0.00019951165,0.0010600127,0.0027482035,0.00601328,0.008022084,0.0043858793,0.021821704,0.021785669,0.0206445,0.004973188,0.000773143,0.0026582964,0.003809779,0.009098632,0.008770475,0.004000875,1.5695322,1.6497254,1.6497316,1.7419214,1.7868675,1.6645068,1.5041798,0.7254135,0.9877655,1.2302777,1.3700687,0.12567943,0.12567939,1.0147392,1.0559376,0.76439506,0.82968843,0.5470609,0.4597095,0.5226703,0.18540373,0.3939522,0.20409985,0.20409985,1.1971351,1.5083346,2.1836865,2.3227746,1.5662814,1.5900251,2.429229,2.4085484,2.2378469,2.300591,0.87328416,0.92072535,0.9373745,0.9568719,1.027287,0.8873508,0.7303278,0.60079134,1.0033189,1.5881771,1.7370827,0.78472173,0.8082444,1.6872157,1.6850301,1.4756019,1.5400726,169.47963,177.46149,29.557898,35.385334,167.10086,0.36707458
8,0.013181372,0.018863225,0.021827709,0.014045497,0.014545342,0.010753493,0.017926386,0.03295643,0.045167863,0.100478075,0.022589257,0.05149793,0.04906708,0.030719975,0.0470024,0.06115435,0.11391524,0.011263441,0.005347561,0.0030663107,0.0017056214,0.00042352732,0.0038283318,0.0051710345,0.011157617,0.010785285,0.06568623,0.006429903,0.009948015,0.005079359,0.013956673,0.021994883,0.045589242,0.098376624,1.5207301,1.608614,1.6121966,1.7115967,1.763113,1.6275165,1.4724764,0.6753752,0.94947505,1.1499414,1.3327088,0.11207466,0.11207466,0.98726285,1.0141137,0.83311445,0.9449226,0.5276981,0.43499956,0.49666116,0.18441299,0.39917785,0.21213964,0.21213973,1.2233285,1.545871,2.0789394,2.2943087,1.5393889,1.5435004,2.3978674,2.3798385,2.2913003,2.409564,0.8394457,0.8930609,0.91216844,0.9438814,1.0213137,0.86950153,0.7181374,0.6208529,1.0270036,1.4937549,1.7114639,0.7747682,0.7788474,1.6647384,1.6598659,1.5431118,1.6608927,167.41849,178.91936,28.177534,34.437187,170.09286,0.5154072
9,0.008005475,0.010638868,0.006747165,0.01226644,0.008914873,0.007845577,0.009300753,0.020780962,0.029712081,0.0070345663,0.010137436,0.033641815,0.033161238,0.018402068,0.012924437,0.014596221,0.004951684,0.005175897,0.008224357,0.015080543,0.0017790571,0.005630469,0.002907916,0.008625633,0.012175467,0.015455782,0.09344351,0.012451821,0.017856114,0.015905842,0.012317907,0.034077965,0.04655813,0.10896356,1.5031269,1.5876021,1.5939236,1.6791476,1.7383288,1.5943936,1.4432702,0.68863666,0.97715354,1.1822195,1.3714819,0.11110771,0.11110771,1.0116799,1.0375276,0.8754187,0.97968704,0.51582605,0.42202407,0.48729247,0.17953493,0.40106258,0.21093579,0.2109357,1.2315221,1.5676337,2.0706038,2.2957668,1.5086489,1.5115557,2.3751876,2.358992,2.2884061,2.4052,0.8340965,0.88446355,0.9066457,0.9267513,1.0120784,0.8522183,0.7048013,0.6545358,1.0673031,1.5084778,1.7345712,0.7597148,0.7625984,1.6629761,1.6594087,1.5603088,1.674924,167.8466,178.5755,29.521738,35.847656,169.0074,0.5397233
