frame,nose_speed,left_eye_speed,right_eye_speed,left_ear_speed,right_ear_speed,left_shoulder_speed,right_shoulder_speed,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_hip_speed,right_hip_speed,left_knee_speed,right_knee_speed,left_ankle_speed,right_ankle_speed,nose_accel,left_eye_accel,right_eye_accel,left_ear_accel,right_ear_accel,left_shoulder_accel,right_shoulder_accel,left_elbow_accel,right_elbow_accel,left_wrist_accel,right_wrist_accel,left_hip_accel,right_hip_accel,left_knee_accel,right_knee_accel,left_ankle_accel,right_ankle_accel,nose_dist_hip,left_eye_dist_hip,right_eye_dist_hip,left_ear_dist_hip,right_ear_dist_hip,left_shoulder_dist_hip,right_shoulder_dist_hip,left_elbow_dist_hip,right_elbow_dist_hip,left_wrist_dist_hip,right_wrist_dist_hip,left_hip_dist_hip,right_hip_dist_hip,left_knee_dist_hip,right_knee_dist_hip,left_ankle_dist_hip,right_ankle_dist_hip,nose_dist_shoulder,left_eye_dist_shoulder,right_eye_dist_shoulder,left_ear_dist_shoulder,right_ear_dist_shoulder,left_shoulder_dist_shoulder,right_shoulder_dist_shoulder,left_elbow_dist_shoulder,right_elbow_dist_shoulder,left_wrist_dist_shoulder,right_wrist_dist_shoulder,left_hip_dist_shoulder,right_hip_dist_shoulder,left_knee_dist_shoulder,right_knee_dist_shoulder,left_ankle_dist_shoulder,right_ankle_dist_shoulder,nose_dist_half_body,left_eye_dist_half_body,right_eye_dist_half_body,left_ear_dist_half_body,right_ear_dist_half_body,left_shoulder_dist_half_body,right_shoulder_dist_half_body,left_elbow_dist_half_body,right_elbow_dist_half_body,left_wrist_dist_half_body,right_wrist_dist_half_body,left_hip_dist_half_body,right_hip_dist_half_body,left_knee_dist_half_body,right_knee_dist_half_body,left_ankle_dist_half_body,right_ankle_dist_half_body,left_elbow_angle_deg,right_elbow_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,neck_angle_deg,wrist/shoulder_ratio
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4521325,1.4983082,1.4877093,1.4242167,1.483137,1.2159393,1.1788579,0.9744509,1.3088746,1.6790265,1.8546896,0.0898913,0.08989135,1.4008957,1.5149821,1.5104306,1.5674897,0.6014783,0.53347087,0.53742725,0.26710886,0.3627789,0.2334816,0.23348156,1.1044961,1.3915316,1.8901404,2.0544329,1.2133691,1.1415265,2.1863647,2.262908,2.409095,2.4557114,0.9435751,0.9590938,0.9519219,0.8396261,0.9059546,0.649317,0.61417544,0.86013633,1.2164942,1.6884851,1.8669187,0.62870836,0.5573897,1.7396698,1.8338658,1.922933,1.9745563,160.7145,166.72362,49.41622,63.55442,160.2885,0.38489008
1,0.0032767036,0.002902104,0.0029444834,0.0016314783,0.0012293273,0.0077429297,0.0031346127,0.020830534,0.0066582225,0.023496889,0.008404138,0.0037163997,0.0026634529,0.0075844876,0.0061417744,0.0068200957,0.0029235824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4535939,1.4995362,1.4884083,1.4239595,1.4820871,1.2148849,1.1802733,0.95440227,1.3152971,1.666342,1.8627189,0.09181446,0.09181447,1.4087613,1.5227641,1.5147593,1.5713264,0.60825413,0.53925514,0.5434478,0.26873106,0.36512256,0.23700552,0.23700559,1.103686,1.3963448,1.8947588,2.0611644,1.2135177,1.1405619,2.1920946,2.2698922,2.4114187,2.4591804,0.9470338,0.96183234,0.9543409,0.8398557,0.90574145,0.64921296,0.61646366,0.84848243,1.2228295,1.6848805,1.8746946,0.62924296,0.55684364,1.7465287,1.841475,1.9261715,1.9783164,160.5058,166.82285,48.551495,63.737236,160.93636,0.4151878
2,0.00092300185,0.000367573,0.00071868434,0.001234075,0.00032467238,0.0023135634,0.004194379,0.0079091275,0.006766782,0.005489678,0.0066006845,0.0015311564,0.0030535606,0.001785831,0.004124447,0.0017495534,0.0039208406,0.0023537017,0.002534531,0.002225799,0.00039740326,0.0009046549,0.0054293666,0.0010597662,0.012921407,0.000108559616,0.018007211,0.0018034531,0.0021852432,0.00039010774,0.0057986565,0.0020173276,0.0050705425,0.0009972581,1.4513496,1.4975243,1.4861006,1.4223502,1.4803739,1.2151598,1.1812698,0.9512628,1.309749,1.6675625,1.8625348,0.093232594,0.093232594,1.410289,1.5275569,1.5142074,1.5760918,0.6069987,0.5374253,0.5416287,0.26627457,0.36284304,0.23939477,0.23939484,1.0963074,1.3896368,1.8992959,2.0649688,1.2146544,1.1399083,2.194611,2.274398,2.4114296,2.4633415,0.9448585,0.9597023,0.9519739,0.8380437,0.903829,0.64983654,0.6178027,0.8418559,1.2159739,1.688008,1.8766704,0.6303688,0.5562083,1.7486975,1.8462081,1.9259374,1.982772,161.09398,167.08818,48.5773,63.607777,161.25948,0.40818623
3,0.0039382153,0.0036363115,0.0039700707,0.0031015684,0.0037563082,0.0031341366,0.0015531111,0.01775729,0.012887403,0.024402076,0.011365408,0.011260831,0.0098725995,0.002232233,0.0022539173,0.009590183,0.00304584,0.0030152134,0.0032687385,0.0032513863,0.0018674934,0.003431636,0.0008205732,0.0026412676,0.009848162,0.006120621,0.018912397,0.0047647236,0.009729674,0.0068190387,0.00044640212,0.0018705295,0.00784063,0.0008750006,1.4533702,1.500711,1.4896879,1.4280436,1.4866347,1.2229373,1.1854225,0.96524346,1.2941788,1.6786486,1.84944,0.09253868,0.09253867,1.3980521,1.5183592,1.4941739,1.5630263,0.6021464,0.53334534,0.5374519,0.26460454,0.36107853,0.23760799,0.23760799,1.0958434,1.3859028,1.90115,2.063277,1.2207663,1.1466228,2.191056,2.2745597,2.4015462,2.4601376,0.9428398,0.9590669,0.9515915,0.8403429,0.9065011,0.65385836,0.6183497,0.8472296,1.2038798,1.6934079,1.8682303,0.63319105,0.5596139,1.740446,1.8414757,1.9108909,1.9746336,161.32951,166.45552,49.0842,62.650497,160.89186,0.36967418
4,0.004790745,0.003004777,0.0070706885,0.0032048062,0.008641889,0.008483304,0.0048316075,0.013317438,0.011637792,0.021499204,0.010185342,0.004735219,0.007271131,0.0012303353,0.004420097,0.00839122,0.002424282,0.0008525299,0.0006315345,0.0031006178,0.000103237806,0.0048855813,0.005349167,0.0032784962,0.0044398513,0.0012496114,0.0029028729,0.0011800658,0.006525612,0.0026014685,0.0010018977,0.0021661797,0.0011989633,0.00062155793,1.4481175,1.4974449,1.4852573,1.4256214,1.4832588,1.2122641,1.1858971,0.9482858,1.2977514,1.6620393,1.8543363,0.093126036,0.093126036,1.3951426,1.51253,1.5013441,1.564217,0.5955858,0.53042316,0.53041846,0.26692733,0.3570708,0.23572768,0.23572764,1.0946187,1.3818179,1.8992124,2.0653958,1.2186136,1.1389147,2.1870675,2.267293,2.4057167,2.4591937,0.93823415,0.95720685,0.94766355,0.8403708,0.904532,0.6457366,0.6207734,0.83852124,1.2046533,1.6849601,1.8725948,0.63343954,0.55434597,1.737597,1.8353697,1.917069,1.9752479,161.45657,167.08455,48.593563,62.906017,161.83875,0.4097084
5,0.010522836,0.011026234,0.009944369,0.0075630103,0.006239268,0.00972118,0.012513932,0.04070399,0.015676802,0.03755076,0.011211218,0.013035155,0.021293331,0.0049510375,0.006709723,0.010273356,0.011866304,0.0057320907,0.008021457,0.0028736806,0.004358204,0.0024026213,0.0012378767,0.0076823244,0.027386552,0.00403901,0.016051555,0.001025876,0.008299936,0.014022199,0.0037207021,0.0022896258,0.0018821359,0.009442022,1.4497514,1.5012196,1.4878979,1.4308939,1.4863157,1.209626,1.1910099,0.89294535,1.2869148,1.617263,1.8464571,0.09856609,0.09856609,1.3851793,1.5040878,1.4985068,1.5628061,0.593878,0.53102756,0.53032583,0.27154538,0.35969934,0.24394311,0.24394307,1.0817816,1.3708984,1.890339,2.0666265,1.2212205,1.1361048,2.190276,2.2713146,2.4135752,2.4681385,0.9390951,0.96046335,0.94984597,0.84573144,0.9077024,0.64499325,0.62743205,0.79904073,1.1926527,1.6580486,1.8694488,0.6365626,0.55216795,1.7357073,1.834459,1.9209627,1.9803282,160.4498,167.39586,46.45394,62.394768,162.4928,0.4707146
6,0.009655149,0.0053758104,0.009241666,0.008411499,0.021277027,0.004240176,0.009374456,0.012241431,0.02711025,0.027822904,0.012277011,0.020130392,0.019928142,0.01438762,0.007192231,0.016735781,0.016183702,0.00086768717,0.005650424,0.0007027034,0.0008484884,0.015037759,0.0054810042,0.0031394763,0.028462559,0.011433449,0.009727854,0.0010657925,0.0070952373,0.0013651885,0.009436582,0.00048250798,0.006462425,0.004317398,1.4318348,1.4877422,1.4745716,1.4334745,1.4927986,1.2117307,1.1894631,0.8651301,1.2618124,1.5892769,1.8195187,0.099108525,0.09910856,1.3824166,1.4922724,1.5001541,1.5639114,0.5891506,0.5294259,0.5250145,0.2753074,0.36282232,0.2425228,0.24252287,1.0775195,1.3525734,1.9067124,2.0728483,1.2219356,1.1366606,2.2054465,2.2788844,2.4306357,2.4850903,0.9235474,0.9492889,0.9377185,0.8483141,0.9134324,0.6464282,0.6254079,0.7804256,1.1683868,1.6537809,1.8595668,0.63701624,0.5524717,1.74409,1.8342328,1.9322374,1.991246,162.08131,169.86304,45.22456,61.444035,163.94696,0.47969556
7,0.021813482,0.023069203,0.020508058,0.013795868,0.009978596,0.007262276,0.0047563175,0.021457303,0.0020163262,0.059019007,0.020924285,0.025776854,0.023054032,0.02131996,0.017062975,0.019378249,0.0136745805,0.012158333,0.017693393,0.011266393,0.005384369,0.011298431,0.0030220998,0.004618138,0.009215873,0.025093924,0.031196102,0.008647274,0.0056464616,0.0031258892,0.0069323396,0.009870744,0.0026424676,0.0025091218,1.4407215,1.4949572,1.4872143,1.438396,1.5059329,1.2164962,1.1951838,0.8318115,1.2420158,1.5365947,1.7784286,0.0979138,0.09791379,1.3701953,1.4782051,1.4791247,1.5418395,0.5812472,0.51977617,0.5231548,0.27148455,0.3736984,0.2392852,0.23928525,1.0855522,1.3496474,1.9136944,2.0623374,1.2262874,1.1442055,2.2062151,2.280176,2.4235482,2.479272,0.92603284,0.95042396,0.9452631,0.8497745,0.92440015,0.6475598,0.62740284,0.7654674,1.154491,1.631701,1.8327014,0.63832384,0.5569291,1.7387305,1.8283653,1.9187161,1.9780805,163.73746,171.25798,43.461395,60.060955,163.02882,0.5303281
8,0.014402079,0.014766283,0.009983855,0.020740328,0.016171074,0.013108975,0.020996012,0.06616794,0.03737669,0.10597363,0.021263639,0.03892266,0.045763277,0.025515651,0.02709488,0.034111913,0.031058097,0.0074114027,0.00830292,0.010524203,0.006944461,0.0061924774,0.0058466992,0.016239695,0.04471064,0.035360366,0.046954624,0.00033935346,0.013145806,0.022709245,0.004195692,0.010031905,0.014733665,0.017383516,1.4316546,1.4851404,1.4841062,1.4382453,1.5197337,1.220366,1.2110631,0.73066497,1.197199,1.4325482,1.7447137,0.1053395,0.1053395,1.356922,1.4612216,1.4606308,1.5232487,0.57533586,0.5103982,0.5239476,0.26070255,0.3868023,0.24290057,0.24290057,1.0793288,1.3218789,1.9242076,2.063569,1.2407868,1.1491765,2.23088,2.2982705,2.4330819,2.4902956,0.9140992,0.9371918,0.9401066,0.84469634,0.9353382,0.6476119,0.63882047,0.7033244,1.1115661,1.5882816,1.8156062,0.6485201,0.55776864,1.7476515,1.8313553,1.9162251,1.9764068,164.76538,170.5886,39.150066,57.38378,166.253,0.7469966
9,0.0329569,0.03029567,0.030699829,0.026237577,0.021294177,0.03195115,0.022934182,0.029582663,0.031811167,0.07554753,0.016193446,0.042994257,0.042077515,0.01755448,0.023683071,0.05187675,0.04943417,0.018554818,0.015529387,0.020715974,0.005497249,0.005123103,0.018842176,0.0019381698,0.03658528,0.005565524,0.0304261,0.0050701927,0.004071597,0.0036857612,0.007961171,0.003411809,0.017764837,0.018376073,1.4059784,1.459842,1.4661561,1.4157025,1.5136325,1.1904702,1.2036649,0.66637766,1.1542472,1.3626362,1.7086407,0.108481586,0.10848153,1.3424593,1.4302366,1.4712719,1.5197828,0.5542839,0.49396142,0.5116883,0.25251606,0.39448705,0.22864059,0.22864057,1.0858295,1.2930462,1.9395494,2.0580466,1.2317076,1.1260146,2.2363522,2.2832034,2.4468822,2.4890473,0.8926469,0.9178147,0.92765015,0.8299424,0.9371058,0.6241502,0.6366777,0.6829041,1.0756129,1.5697548,1.7978655,0.6474962,0.54282045,1.748299,1.8122121,1.9315155,1.9767052,167.11781,171.46396,36.825245,55.342335,168.87482,0.966747
