frame,nose_speed,left_eye_speed,right_eye_speed,left_ear_speed,right_ear_speed,left_shoulder_speed,right_shoulder_speed,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_hip_speed,right_hip_speed,left_knee_speed,right_knee_speed,left_ankle_speed,right_ankle_speed,nose_accel,left_eye_accel,right_eye_accel,left_ear_accel,right_ear_accel,left_shoulder_accel,right_shoulder_accel,left_elbow_accel,right_elbow_accel,left_wrist_accel,right_wrist_accel,left_hip_accel,right_hip_accel,left_knee_accel,right_knee_accel,left_ankle_accel,right_ankle_accel,nose_dist_hip,left_eye_dist_hip,right_eye_dist_hip,left_ear_dist_hip,right_ear_dist_hip,left_shoulder_dist_hip,right_shoulder_dist_hip,left_elbow_dist_hip,right_elbow_dist_hip,left_wrist_dist_hip,right_wrist_dist_hip,left_hip_dist_hip,right_hip_dist_hip,left_knee_dist_hip,right_knee_dist_hip,left_ankle_dist_hip,right_ankle_dist_hip,nose_dist_shoulder,left_eye_dist_shoulder,right_eye_dist_shoulder,left_ear_dist_shoulder,right_ear_dist_shoulder,left_shoulder_dist_shoulder,right_shoulder_dist_shoulder,left_elbow_dist_shoulder,right_elbow_dist_shoulder,left_wrist_dist_shoulder,right_wrist_dist_shoulder,left_hip_dist_shoulder,right_hip_dist_shoulder,left_knee_dist_shoulder,right_knee_dist_shoulder,left_ankle_dist_shoulder,right_ankle_dist_shoulder,nose_dist_half_body,left_eye_dist_half_body,right_eye_dist_half_body,left_ear_dist_half_body,right_ear_dist_half_body,left_shoulder_dist_half_body,right_shoulder_dist_half_body,left_elbow_dist_half_body,right_elbow_dist_half_body,left_wrist_dist_half_body,right_wrist_dist_half_body,left_hip_dist_half_body,right_hip_dist_half_body,left_knee_dist_half_body,right_knee_dist_half_body,left_ankle_dist_half_body,right_ankle_dist_half_body,left_elbow_angle_deg,right_elbow_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,neck_angle_deg,wrist/shoulder_ratio
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0433204,2.1278753,2.148875,2.0750794,2.111289,1.4849513,1.7004799,0.91331273,0.84748113,1.2021654,1.0526557,0.06287579,0.06287576,0.8697647,0.7472153,0.36673,0.2351061,0.5528101,0.5837383,0.597271,0.49387354,0.5204076,0.13176024,0.13176024,1.4338405,1.1585708,1.9483062,1.7602329,1.6521255,1.5298296,1.9765983,1.8900404,1.7861494,1.696735,1.2679235,1.3422195,1.3617816,1.2814773,1.3158395,0.69171643,0.9065029,0.90126055,0.630481,1.4098939,1.212643,0.8567305,0.7344503,1.3034443,1.1968888,1.0147223,0.9134241,167.24794,165.86487,36.881416,29.407215,104.51875,0.7500207
1,0.03316382,0.028699232,0.026708053,0.018270506,0.015483179,0.06980608,0.03795623,0.131247,0.051282045,0.036375534,0.05675439,0.02072996,0.052370064,0.031789925,0.051075246,0.015455266,0.045025706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0376945,2.116104,2.144642,2.0474715,2.1070244,1.4352214,1.6953366,0.94203097,0.7984599,1.2184763,1.0649315,0.07622652,0.07622652,0.8667517,0.7233981,0.3906468,0.22145168,0.5779519,0.60251653,0.62180513,0.49579158,0.547032,0.18122211,0.18122211,1.5486274,1.1687034,1.9013712,1.6918991,1.6226166,1.4990264,1.9309134,1.8648669,1.7595046,1.6804816,1.2785033,1.346075,1.3727791,1.2690277,1.3269722,0.6616707,0.91921747,1.0170013,0.62702477,1.3933433,1.1788799,0.8430923,0.71965426,1.2772235,1.1798193,1.0078133,0.9099376,155.9389,156.68774,37.247883,28.890142,96.17918,0.5972673
2,0.30858052,0.32409784,0.27506012,0.41000754,0.38008353,0.16878222,0.24061628,0.27774084,0.19580965,0.28226146,0.3017006,0.6613648,0.5911454,0.17995971,0.2608178,0.5942776,0.756555,0.2754167,0.29539862,0.24835207,0.39173704,0.36460036,0.09897614,0.20266005,0.14649384,0.1445276,0.24588592,0.2449462,0.64063483,0.5387753,0.14816979,0.20974255,0.5788224,0.7115293,1.9434986,2.1196332,2.1061454,2.23354,2.173213,1.4792095,1.6032816,0.30779156,0.50032943,0.32139674,0.17708851,0.07247229,0.07247229,0.48538554,0.36762333,0.49022502,0.48938867,0.5559663,0.6720685,0.67066485,0.71414906,0.63570255,0.0942969,0.09429691,1.2975153,1.0397058,1.7500377,1.4991865,1.585764,1.495542,1.9784402,1.8571377,2.020844,2.0216722,1.2043855,1.3710076,1.3602284,1.4685899,1.4038831,0.71125084,0.8349271,0.54455686,0.2702966,0.995171,0.73950094,0.8169157,0.7268772,1.2175031,1.0951964,1.2527837,1.2532881,174.1054,165.79749,5.3542686,4.0387607,81.07286,1.362877
3,0.009277931,0.013974958,0.012595317,0.0166736,0.010020599,0.038438026,0.027718287,0.05223889,0.012104877,0.13305046,0.19939052,0.036594175,0.0362682,0.077923775,0.060489867,0.05711675,0.058492936,0.29930258,0.31012288,0.2624648,0.39333394,0.37006295,0.1303442,0.21289799,0.22550195,0.18370476,0.149211,0.10231008,0.62477064,0.5548772,0.10203594,0.20032793,0.5371609,0.69806206,1.9110307,2.080648,2.0696719,2.1934626,2.1352148,1.4870659,1.5881723,0.3467773,0.4604836,0.44874656,0.2507837,0.07911659,0.079116575,0.45720875,0.35495576,0.46936804,0.4684962,0.5404447,0.6432344,0.6465464,0.6775141,0.6023369,0.104882,0.104882,1.2823972,1.0755353,1.9062912,1.7205131,1.5733311,1.4996014,1.9269172,1.8220423,1.9889584,1.9893792,1.1760538,1.3350903,1.3273375,1.4304527,1.3682175,0.7226518,0.82321864,0.54170233,0.30895576,1.1526936,0.9605061,0.8073772,0.7338766,1.171353,1.0648751,1.2244076,1.2245823,179.95576,172.67517,6.689704,5.227235,66.119675,0.9621658
4,0.053948592,0.041575957,0.050420567,0.05212377,0.042756956,0.01476774,0.054992456,0.024589907,0.05491593,0.043166425,0.031061035,0.085994616,0.077247284,0.036405828,0.043057457,0.07799473,0.07685278,0.04467066,0.027601,0.03782525,0.035450168,0.032736357,0.023670286,0.027274169,0.027648982,0.042811055,0.08988403,0.16832948,0.04940044,0.040979084,0.041517947,0.01743241,0.020877976,0.018359847,1.8861407,2.0325186,2.035898,2.0901937,2.0534887,1.4482274,1.5750842,0.33948198,0.46479443,0.55003625,0.35757166,0.07154263,0.07154263,0.5043643,0.4055372,0.60506105,0.6046159,0.5578353,0.627009,0.6474987,0.59558,0.5458314,0.10289463,0.10289463,1.2937759,1.0526317,1.9723192,1.7811979,1.5509386,1.4703417,1.9353218,1.8091403,2.0919447,2.0922422,1.1682117,1.3009617,1.3085995,1.3387226,1.2991302,0.69594556,0.82225543,0.5700152,0.3039719,1.2355794,1.0395321,0.7972639,0.71685183,1.1959482,1.071956,1.3422112,1.3423427,179.3804,173.58887,8.421867,6.972658,73.19835,0.969581
5,0.038680326,0.044611603,0.051838405,0.077944085,0.010456566,0.062030386,0.06750364,0.044255164,0.024031464,0.0378371,0.06735633,0.028127586,0.047494117,0.0210943,0.010696628,0.079085395,0.079108104,0.015268266,0.003035646,0.001417838,0.025820315,0.03230039,0.047262646,0.012511183,0.019665256,0.030884467,0.005329326,0.0362953,0.057867028,0.029753167,0.015311528,0.03236083,0.0010906681,0.0022553205,1.8482882,1.9874383,1.9848,2.0804663,2.0415485,1.5020082,1.6304641,0.3503583,0.4395897,0.61872077,0.4359949,0.08120988,0.08120993,0.5512523,0.4352562,0.54939616,0.5494989,0.4888419,0.5495338,0.55060965,0.55079144,0.48002046,0.11387797,0.11387801,1.3991642,1.1400398,2.0665472,1.9100282,1.6075817,1.5222929,2.0048695,1.8747319,2.0766692,2.0766218,1.1029527,1.2308071,1.2289174,1.305677,1.2602012,0.7234882,0.8512506,0.65508974,0.36796993,1.3098294,1.1437162,0.8272811,0.7422414,1.2452416,1.1139886,1.3023565,1.3023404,178.17628,175.00836,9.522581,8.32624,63.057926,0.8023324
6,0.3681633,0.3862018,0.3454389,0.3918902,0.3859919,0.16929315,0.21906248,0.23014858,0.23463766,0.37937167,0.37233263,0.57059276,0.48948225,0.40116656,0.44413796,0.66648245,0.6933429,0.32948297,0.3415902,0.2936005,0.31394613,0.37553534,0.10726276,0.15155885,0.18589342,0.2106062,0.34153458,0.30497628,0.54246515,0.44198814,0.38007227,0.43344134,0.58739704,0.6142348,1.9709289,2.046184,2.057244,2.0432777,2.0587466,1.5657216,1.7364169,1.0189961,0.8886514,1.286682,1.2092901,0.05647439,0.05647436,0.702765,0.67005146,0.3889518,0.30556092,0.56792814,0.5531893,0.5408908,0.44374007,0.41754818,0.15347159,0.15347153,1.5310652,1.2328117,1.9130111,1.8681616,1.6808699,1.6126301,2.0042408,2.0253026,1.9471931,1.8507944,1.1941991,1.2525989,1.2589551,1.2282119,1.2365079,0.74838406,0.9175557,1.0068847,0.6908856,1.4071748,1.3411804,0.85838,0.7902168,1.2561806,1.2641083,1.1375334,1.0401748,156.84814,160.9352,38.09271,31.885595,61.019436,0.2528928
7,0.022435853,0.023623036,0.009216559,0.03545303,0.0269816,0.032634407,0.0179395,0.07458302,0.08759237,0.03432152,0.031203423,0.14104491,0.11195223,0.03231298,0.09717965,0.020515233,0.047274757,0.34572744,0.36257875,0.33622235,0.35643718,0.3590103,0.13665874,0.20112297,0.15556556,0.14704528,0.34505016,0.3411292,0.42954785,0.37753004,0.36885357,0.3469583,0.64596725,0.64606816,1.8791218,1.947334,1.973798,1.9471555,1.9899023,1.4536699,1.6288644,1.035288,0.90271723,1.3533915,1.2799546,0.040050782,0.040050782,0.8452136,0.78876466,0.50445896,0.46673727,0.571907,0.5535125,0.5536627,0.43692896,0.45629472,0.14072469,0.14072469,1.5840887,1.311635,1.9352056,1.890066,1.5680836,1.507007,2.0188618,1.9487132,1.9376138,1.8492712,1.1568252,1.2076421,1.2289698,1.1833498,1.2219306,0.6896638,0.8635148,1.0953244,0.82267785,1.4823971,1.4193213,0.79962593,0.73857546,1.343224,1.2723887,1.1889364,1.1081427,151.03972,160.9073,40.731018,34.323734,67.17326,0.26096156
8,0.010318224,0.012021151,0.008492641,0.029500501,0.00536053,0.06107005,0.010816173,0.069566354,0.052004546,0.012549916,0.033003148,0.043952122,0.014769525,0.012461609,0.1174302,0.029087255,0.06847488,0.012117629,0.011601885,0.00072391797,0.0059525277,0.021621069,0.028435644,0.007123328,0.005016662,0.035587825,0.021771604,0.001799725,0.09709279,0.097182706,0.019851372,0.020250551,0.0085720215,0.021200124,1.892421,1.9606621,1.9891411,1.9545885,2.0082803,1.4699459,1.6566392,0.9974575,0.9221162,1.3685414,1.3185464,0.047299877,0.047299884,0.8525614,0.89177567,0.50813127,0.49556097,0.5923058,0.5672704,0.5688801,0.42731383,0.45679873,0.12447798,0.12447798,1.5442705,1.2823025,1.973522,1.9412754,1.6079165,1.5143591,2.0458837,1.9954239,1.97255,1.8429239,1.1648031,1.2139689,1.2372863,1.1799285,1.2294924,0.69198424,0.87789434,1.0395051,0.79876375,1.5081683,1.4643368,0.82736975,0.73381525,1.3590347,1.3338721,1.2104957,1.100772,152.71796,162.15125,39.97085,33.968548,74.0756,0.2010338
9,0.0121201575,0.013262757,0.006366591,0.030079579,0.015494365,0.012179987,0.013361588,0.020290755,0.023083193,0.013560765,0.009457148,0.039776925,0.04068489,0.028171314,0.008054497,0.0347295,0.039540015,0.0018019332,0.0012416057,0.0021260502,0.00057907775,0.010133835,0.048890065,0.0025454154,0.0492756,0.028921353,0.0010108491,0.023546,0.0041751973,0.025915366,0.015709706,0.10937571,0.0056422446,0.028934866,1.9366405,2.0057933,2.0263824,1.9891059,2.0262027,1.4989296,1.6852051,1.0473175,0.94722676,1.3968732,1.3371874,0.051838588,0.05183856,0.8685284,0.9129941,0.47127512,0.46841198,0.60658807,0.5830888,0.57653934,0.4424473,0.44678345,0.13380285,0.13380285,1.55915,1.2990994,1.9612297,1.9334185,1.6394036,1.5390358,2.0254152,1.9911011,1.935511,1.8062546,1.1949478,1.2450851,1.2601385,1.2019935,1.2333667,0.70780224,0.8930551,1.0642128,0.8130722,1.5058141,1.4600431,0.8448686,0.744511,1.340508,1.3295331,1.1630946,1.0533851,151.75963,160.95454,41.26625,34.524647,70.6133,0.225598
