frame,nose_speed,left_eye_speed,right_eye_speed,left_ear_speed,right_ear_speed,left_shoulder_speed,right_shoulder_speed,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_hip_speed,right_hip_speed,left_knee_speed,right_knee_speed,left_ankle_speed,right_ankle_speed,nose_accel,left_eye_accel,right_eye_accel,left_ear_accel,right_ear_accel,left_shoulder_accel,right_shoulder_accel,left_elbow_accel,right_elbow_accel,left_wrist_accel,right_wrist_accel,left_hip_accel,right_hip_accel,left_knee_accel,right_knee_accel,left_ankle_accel,right_ankle_accel,nose_dist_hip,left_eye_dist_hip,right_eye_dist_hip,left_ear_dist_hip,right_ear_dist_hip,left_shoulder_dist_hip,right_shoulder_dist_hip,left_elbow_dist_hip,right_elbow_dist_hip,left_wrist_dist_hip,right_wrist_dist_hip,left_hip_dist_hip,right_hip_dist_hip,left_knee_dist_hip,right_knee_dist_hip,left_ankle_dist_hip,right_ankle_dist_hip,nose_dist_shoulder,left_eye_dist_shoulder,right_eye_dist_shoulder,left_ear_dist_shoulder,right_ear_dist_shoulder,left_shoulder_dist_shoulder,right_shoulder_dist_shoulder,left_elbow_dist_shoulder,right_elbow_dist_shoulder,left_wrist_dist_shoulder,right_wrist_dist_shoulder,left_hip_dist_shoulder,right_hip_dist_shoulder,left_knee_dist_shoulder,right_knee_dist_shoulder,left_ankle_dist_shoulder,right_ankle_dist_shoulder,nose_dist_half_body,left_eye_dist_half_body,right_eye_dist_half_body,left_ear_dist_half_body,right_ear_dist_half_body,left_shoulder_dist_half_body,right_shoulder_dist_half_body,left_elbow_dist_half_body,right_elbow_dist_half_body,left_wrist_dist_half_body,right_wrist_dist_half_body,left_hip_dist_half_body,right_hip_dist_half_body,left_knee_dist_half_body,right_knee_dist_half_body,left_ankle_dist_half_body,right_ankle_dist_half_body,left_elbow_angle_deg,right_elbow_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,neck_angle_deg,wrist/shoulder_ratio
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1627104,1.228097,1.2543421,1.4424382,1.4721365,1.284688,1.2860143,0.5585242,0.46899083,0.41610205,0.21721913,0.14954573,0.14954573,1.3039358,1.2424688,2.1902192,2.188265,0.3949431,0.36727127,0.31227005,0.3016547,0.20839174,0.17855649,0.17855652,0.8391328,0.8418014,1.2867377,1.272827,1.2797059,1.2835776,2.535783,2.506673,3.4285727,3.446895,0.59065765,0.6453633,0.656035,0.825076,0.83680654,0.6603722,0.6616616,0.3209131,0.24337156,0.7136919,0.65465647,0.6518775,0.65567243,1.9131546,1.8731014,2.8055344,2.815978,170.41362,141.32254,8.735903,0.6966124,24.748299,0.55818504
1,0.013148624,0.01092249,0.013425706,0.007607381,0.01272195,0.019898644,0.009026353,0.017282404,0.027709682,0.033690892,0.05130221,0.021732064,0.015326391,0.018177344,0.013895757,0.03968275,0.034661546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1486986,1.2147744,1.2398945,1.4346399,1.4561315,1.2965612,1.2801472,0.5742145,0.45022178,0.42688692,0.26613387,0.14734268,0.14734268,1.3253571,1.2639983,2.232342,2.2312686,0.40898764,0.375523,0.32283086,0.2993767,0.191637,0.17332853,0.17332856,0.8349483,0.84796643,1.2649056,1.2485237,1.278717,1.2915357,2.558286,2.5300043,3.472514,3.4915237,0.57958543,0.63314843,0.64289105,0.81635696,0.81917727,0.6693927,0.6534061,0.32551527,0.23109108,0.69544166,0.63823915,0.64880145,0.6613751,1.9347427,1.8952142,2.8483999,2.8595767,171.42598,139.85338,9.712133,3.046711,29.9576,0.46393773
2,0.012324726,0.011083146,0.015784457,0.020691833,0.025070246,0.0061760694,0.028686289,0.03179854,0.019842507,0.107797086,0.050216965,0.040211618,0.039582334,0.0150735285,0.019901851,0.019087896,0.022251086,0.00082389824,0.00016065594,0.0023587514,0.013084452,0.012348296,0.013722574,0.019659936,0.014516138,0.007867174,0.074106194,0.0010852441,0.018479554,0.024255943,0.003103815,0.0060060946,0.020594854,0.01241046,1.1190188,1.1819649,1.208973,1.3951753,1.4142445,1.2673169,1.2583774,0.5387183,0.42784974,0.417687,0.27001566,0.14107342,0.14107342,1.3511943,1.282933,2.252666,2.251823,0.4152776,0.37798718,0.3291383,0.29483846,0.1784487,0.16464496,0.16464493,0.8266263,0.8418942,1.3668069,1.3049315,1.2525995,1.2673548,2.5528505,2.5205905,3.463042,3.4843512,0.5660437,0.6148445,0.62693703,0.7904418,0.7899632,0.65167195,0.64295185,0.30796173,0.23237224,0.79333967,0.7042397,0.6344523,0.6489386,1.9440838,1.8994006,2.853359,2.8659694,171.18506,144.58554,8.35019,3.3865108,29.552538,0.44939983
3,0.020358607,0.01907473,0.024997393,0.011761625,0.027990645,0.003630785,0.016901601,0.01707361,0.0073945047,0.053857356,0.059616223,0.01973842,0.01835247,0.022368839,0.024214504,0.016377283,0.015709627,0.008033881,0.007991585,0.009212935,0.008930207,0.0029203985,0.0025452843,0.011784688,0.014724931,0.012448003,0.05393973,0.009399258,0.020473197,0.021229865,0.0072953105,0.004312653,0.0027106125,0.006541459,1.1033841,1.1670806,1.1922449,1.3833665,1.3952811,1.2538443,1.2466278,0.5245114,0.41636506,0.41516608,0.264041,0.13556306,0.13556308,1.3468686,1.2770014,2.2574024,2.2575655,0.4311012,0.39137256,0.34789196,0.29665875,0.18016608,0.15795375,0.15795378,0.8177486,0.8434119,1.411516,1.356062,1.2394608,1.2557064,2.5348277,2.501634,3.4547706,3.4772594,0.56312865,0.610808,0.621852,0.78505796,0.77787924,0.6434275,0.63637775,0.2955911,0.24044414,0.8353632,0.7548329,0.6267232,0.64268947,1.9326575,1.8867733,2.8515108,2.86521,172.05606,148.46115,7.715919,2.6760561,29.594719,0.486275
4,0.003073164,0.00074691535,0.0035383743,0.02041192,0.013345763,0.016553521,0.028129663,0.005935937,0.022362726,0.044676013,0.06255241,0.03501988,0.03230509,0.025576513,0.040762153,0.013010077,0.0035241952,0.017285444,0.018327815,0.021459019,0.0086502945,0.014644882,0.012922736,0.011228062,0.011137674,0.014968221,0.009181343,0.0029361844,0.015281457,0.013952622,0.0032076743,0.016547648,0.003367206,0.012185432,1.0889827,1.1503263,1.1728462,1.3518022,1.3630121,1.2285451,1.2275772,0.5104034,0.3869023,0.4524102,0.33436692,0.12956497,0.12956494,1.3533018,1.2665657,2.2845008,2.2839553,0.41204476,0.3726949,0.32560056,0.28441504,0.16374095,0.1530157,0.1530157,0.8123436,0.8419875,1.4497448,1.4180219,1.2157817,1.2348642,2.5096188,2.4636986,3.451275,3.474037,0.55376166,0.5999133,0.60795707,0.76351196,0.755729,0.62864,0.6276939,0.29837352,0.2411183,0.8843289,0.83073074,0.6134134,0.6321854,1.9218807,1.8616711,2.8625064,2.8760238,171.61404,152.0269,8.224759,4.274526,28.001844,0.4301694
5,0.016918357,0.014112186,0.015138335,0.017878301,0.0024771302,0.025491137,0.026387695,0.026942775,0.016339516,0.024701666,0.040976137,0.02319373,0.02014239,0.030641636,0.03048441,0.022793643,0.009198886,0.013845193,0.013365271,0.01159996,0.0025336184,0.010868633,0.008937616,0.0017419681,0.021006837,0.0060232095,0.019974347,0.02157627,0.011826148,0.012162702,0.0050651226,0.0102777425,0.009783566,0.005674691,1.0948937,1.1542579,1.1732634,1.3377165,1.348997,1.204911,1.2092848,0.4893908,0.36203995,0.47492024,0.37689707,0.12546763,0.12546761,1.3439963,1.2560282,2.319518,2.2935214,0.37877798,0.3452504,0.2908436,0.27806377,0.16000953,0.15074325,0.1507432,0.8261951,0.84166723,1.4577243,1.4473127,1.1922721,1.2160203,2.4713023,2.4268878,3.457303,3.4546795,0.5590535,0.6059397,0.60989904,0.7581627,0.7510701,0.6153661,0.619641,0.32009244,0.24727832,0.90369403,0.8716599,0.6000296,0.62340355,1.8969024,1.8371456,2.8823538,2.870354,172.2336,154.10692,9.297115,5.2476993,23.856781,0.42055672
6,0.024850167,0.029023003,0.020635761,0.012444946,0.007986161,0.011408629,0.030869035,0.025262058,0.028835,0.041796103,0.04493878,0.023448942,0.016722675,0.017716164,0.019463347,0.018586764,0.011898617,0.00793181,0.014910817,0.0054974267,0.0054333555,0.005509031,0.014082508,0.00448134,0.0016807169,0.012495484,0.017094437,0.0039626434,0.0002552122,0.003419714,0.012925472,0.011021063,0.004206879,0.002699731,1.1237646,1.1853353,1.2026339,1.3551449,1.35835,1.2104132,1.2001257,0.52189547,0.3571405,0.48915276,0.41603565,0.11535575,0.11535576,1.3228317,1.2254899,2.3097456,2.271087,0.3374345,0.30411986,0.26004925,0.26429275,0.16649228,0.14093146,0.14093146,0.8139895,0.84150165,1.4137427,1.4728113,1.1862289,1.2186688,2.4436586,2.3903396,3.441552,3.4258707,0.5745821,0.62493557,0.63148004,0.77131337,0.76039946,0.6198961,0.609813,0.33055574,0.2441871,0.8722153,0.9016205,0.59330696,0.6253163,1.8714875,1.802655,2.8690405,2.8441176,173.16743,155.49536,12.122098,6.38709,22.677925,0.56996477
7,0.017408485,0.016040638,0.016422851,0.018061293,0.01711052,0.009717083,0.012704195,0.032801688,0.021826144,0.06835279,0.02847603,0.0140196355,0.009300286,0.027437523,0.013042618,0.044305947,0.017585775,0.0074416827,0.012982365,0.0042129103,0.0056163473,0.009124358,0.0016915463,0.01816484,0.00753963,0.007008856,0.026556686,0.01646275,0.009429307,0.0074223895,0.009721359,0.0064207297,0.025719183,0.0056871576,1.1143119,1.1765958,1.1931243,1.3495183,1.3494097,1.2176454,1.2073005,0.5444964,0.37764442,0.45639506,0.40444764,0.11275042,0.1127504,1.3502464,1.2426357,2.3520353,2.288765,0.34620348,0.30831307,0.26336458,0.2615978,0.15193482,0.14091952,0.14091952,0.78571117,0.827552,1.3506191,1.4498918,1.1927614,1.2260767,2.4738626,2.409518,3.4870017,3.443555,0.5641003,0.61412746,0.6195873,0.76305425,0.74795103,0.6234538,0.61331207,0.30715522,0.22619464,0.8084982,0.8776771,0.59592897,0.62882715,1.8997409,1.8199987,2.9125693,2.8610651,172.42819,155.54956,11.809642,6.8469334,25.313343,0.5958602
8,0.015507146,0.016298842,0.01366301,0.023036512,0.016631441,0.00940532,0.015686084,0.016438395,0.018542305,0.028245231,0.01092588,0.022002948,0.023388825,0.014394206,0.012614794,0.025539143,0.007919369,0.0019013388,0.0002582036,0.0027598413,0.0049752183,0.00047907792,0.00031176303,0.0029818881,0.016363293,0.0032838397,0.040107556,0.01755015,0.007983313,0.014088539,0.013043317,0.0004278235,0.018766804,0.009666406,1.0992,1.1614064,1.1760497,1.3306059,1.3281133,1.2006866,1.1989915,0.531365,0.3783595,0.45024174,0.4179432,0.10937599,0.109375976,1.3619142,1.2511919,2.396884,2.315645,0.3543844,0.31570762,0.26728874,0.26590937,0.14464654,0.13993244,0.1399324,0.77814955,0.8139392,1.3540367,1.4520253,1.1810763,1.2120447,2.4679365,2.400167,3.5130558,3.4505837,0.55848557,0.6076673,0.61013085,0.7520649,0.73307264,0.6128673,0.6112059,0.2982018,0.21867335,0.8142838,0.88685876,0.59029126,0.62088585,1.9020388,1.8188273,2.947592,2.8773878,171.96112,156.1285,11.278315,7.0078473,23.893476,0.54328775
9,0.015482645,0.014215431,0.019653615,0.009285279,0.023857538,0.008735558,0.00916332,0.03181726,0.02589075,0.039783668,0.03615078,0.0029129556,0.011108109,0.016080623,0.019543266,0.007562087,0.0044367816,2.4501234e-05,0.0020834105,0.005990605,0.013751233,0.0072260965,0.00066976156,0.0065227635,0.015378866,0.007348446,0.011538437,0.0252249,0.019089993,0.012280717,0.0016864175,0.006928472,0.017977055,0.0034825876,1.0993379,1.1631845,1.1753688,1.3337048,1.3243046,1.2112963,1.1993986,0.53606254,0.39265814,0.40391964,0.37648305,0.10565894,0.10565894,1.3723094,1.2589645,2.3893175,2.3086557,0.36566436,0.3248909,0.28147843,0.26753142,0.14207847,0.13705754,0.13705751,0.75262165,0.80941164,1.3396806,1.4365231,1.1853973,1.2187649,2.4851322,2.4118648,3.5130367,3.4495945,0.5591054,0.6088907,0.60978067,0.7527566,0.7269499,0.6200673,0.60839355,0.26148194,0.21479148,0.7876668,0.86263585,0.5913011,0.6242975,1.915993,1.8282541,2.94391,2.8733723,171.72774,154.63118,9.245373,4.722358,26.723202,0.5272879
